"Date","Price","Open","High","Low","Change %"
"May 06, 2022","34.040","34.040","34.040","34.040","-1.59"
"May 05, 2022","34.590","34.590","34.590","34.590","-4.18"
"May 04, 2022","36.100","36.100","36.100","36.100","2.76"
"May 03, 2022","35.130","35.130","35.130","35.130","-0.17"
"May 02, 2022","35.190","35.190","35.190","35.190","1.06"
"Apr 29, 2022","34.820","34.820","34.820","34.820","-3.57"
"Apr 28, 2022","36.110","36.110","36.110","36.110","2.97"
"Apr 27, 2022","35.070","35.070","35.070","35.070","0.09"
"Apr 26, 2022","35.040","35.040","35.040","35.040","-3.26"
"Apr 25, 2022","36.220","36.220","36.220","36.220","0.86"
"Apr 22, 2022","35.910","35.910","35.910","35.910","-2.63"
"Apr 21, 2022","36.880","36.880","36.880","36.880","-2.25"
"Apr 20, 2022","37.730","37.730","37.730","37.730","-1.41"
"Apr 19, 2022","38.270","38.270","38.270","38.270","2.24"
"Apr 18, 2022","37.430","37.430","37.430","37.430","-0.53"
"Apr 14, 2022","37.630","37.630","37.630","37.630","-1.54"
"Apr 13, 2022","38.220","38.220","38.220","38.220","1.87"
"Apr 12, 2022","37.520","37.520","37.520","37.520","-0.64"
"Apr 11, 2022","37.760","37.760","37.760","37.760","-1.64"
"Apr 08, 2022","38.390","38.390","38.390","38.390","-0.60"
"Apr 07, 2022","38.620","38.620","38.620","38.620","0.34"
"Apr 06, 2022","38.490","38.490","38.490","38.490","-1.79"
"Apr 05, 2022","39.190","39.190","39.190","39.190","-1.73"
"Apr 04, 2022","39.880","39.880","39.880","39.880","1.19"
"Apr 01, 2022","39.410","39.410","39.410","39.410","0.46"
"Mar 31, 2022","39.230","39.230","39.230","39.230","-1.58"
"Mar 30, 2022","39.860","39.860","39.860","39.860","-1.24"
"Mar 29, 2022","40.360","40.360","40.360","40.360","2.13"
"Mar 28, 2022","39.520","39.520","39.520","39.520","1.05"
"Mar 25, 2022","39.110","39.110","39.110","39.110","-0.43"
"Mar 24, 2022","39.280","39.280","39.280","39.280","1.34"
"Mar 23, 2022","38.760","38.760","38.760","38.760","-1.95"
"Mar 22, 2022","39.530","39.530","39.530","39.530","1.52"
"Mar 21, 2022","38.940","38.940","38.940","38.940","-0.97"
"Mar 18, 2022","39.320","39.320","39.320","39.320","1.87"
"Mar 17, 2022","38.600","38.600","38.600","38.600","1.61"
"Mar 16, 2022","37.990","37.990","37.990","37.990","3.68"
"Mar 15, 2022","36.640","36.640","36.640","36.640","2.52"
"Mar 14, 2022","35.740","35.740","35.740","35.740","-1.38"
"Mar 11, 2022","36.240","36.240","36.240","36.240","-2.00"
"Mar 10, 2022","36.980","36.980","36.980","36.980","-0.56"
"Mar 09, 2022","37.190","37.190","37.190","37.190","3.65"
"Mar 08, 2022","35.880","35.880","35.880","35.880","-0.44"
"Mar 07, 2022","36.040","36.040","36.040","36.040","-4.05"
"Mar 04, 2022","37.560","37.560","37.560","37.560","-1.65"
"Mar 03, 2022","38.190","38.190","38.190","38.190","-1.57"
"Mar 02, 2022","38.800","38.800","38.800","38.800","1.46"
"Mar 01, 2022","38.240","38.240","38.240","38.240","-1.54"
"Feb 28, 2022","38.840","38.840","38.840","38.840","-0.18"
"Feb 25, 2022","38.910","38.910","38.910","38.910","1.91"
"Feb 24, 2022","38.180","38.180","38.180","38.180","2.69"
"Feb 23, 2022","37.180","37.180","37.180","37.180","-2.05"
"Feb 22, 2022","37.960","37.960","37.960","37.960","-1.12"
"Feb 18, 2022","38.390","38.390","38.390","38.390","-1.11"
"Feb 17, 2022","38.820","38.820","38.820","38.820","-2.66"
"Feb 16, 2022","39.880","39.880","39.880","39.880","-0.23"
"Feb 15, 2022","39.970","39.970","39.970","39.970","2.09"
"Feb 14, 2022","39.150","39.150","39.150","39.150","-0.23"
"Feb 11, 2022","39.240","39.240","39.240","39.240","-2.49"
"Feb 10, 2022","40.240","40.240","40.240","40.240","-1.73"
"Feb 09, 2022","40.950","40.950","40.950","40.950","2.20"
"Feb 08, 2022","40.070","40.070","40.070","40.070","1.11"
"Feb 07, 2022","39.630","39.630","39.630","39.630","-0.50"
"Feb 04, 2022","39.830","39.830","39.830","39.830","1.12"
"Feb 03, 2022","39.390","39.390","39.390","39.390","-3.03"
"Feb 02, 2022","40.620","40.620","40.620","40.620","0.35"
"Feb 01, 2022","40.480","40.480","40.480","40.480","1.12"
"Jan 31, 2022","40.030","40.030","40.030","40.030","2.98"
"Jan 28, 2022","38.870","38.870","38.870","38.870","2.78"
"Jan 27, 2022","37.820","37.820","37.820","37.820","-0.66"
"Jan 26, 2022","38.070","38.070","38.070","38.070","-0.44"
"Jan 25, 2022","38.240","38.240","38.240","38.240","-2.25"
"Jan 24, 2022","39.120","39.120","39.120","39.120","0.67"
"Jan 21, 2022","38.860","38.860","38.860","38.860","-3.02"
"Jan 20, 2022","40.070","40.070","40.070","40.070","-1.04"
"Jan 19, 2022","40.490","40.490","40.490","40.490","-0.74"
"Jan 18, 2022","40.790","40.790","40.790","40.790","-2.35"
"Jan 14, 2022","41.770","41.770","41.770","41.770","-0.05"
"Jan 13, 2022","41.790","41.790","41.790","41.790","-2.20"
"Jan 12, 2022","42.730","42.730","42.730","42.730","0.23"
"Jan 11, 2022","42.630","42.630","42.630","42.630","1.19"
"Jan 10, 2022","42.130","42.130","42.130","42.130","-0.38"
"Jan 07, 2022","42.290","42.290","42.290","42.290","-1.08"
