"Date","Price","Open","High","Low","Change %"
"May 06, 2022","30.23","30.23","30.23","30.23","-0.36"
"May 05, 2022","30.34","30.34","30.34","30.34","-2.07"
"May 04, 2022","30.98","30.98","30.98","30.98","1.81"
"May 03, 2022","30.43","30.43","30.43","30.43","0.60"
"Apr 29, 2022","30.25","30.25","30.25","30.25","-2.20"
"Apr 28, 2022","30.93","30.93","30.93","30.93","1.28"
"Apr 27, 2022","30.54","30.54","30.54","30.54","0.03"
"Apr 26, 2022","30.53","30.53","30.53","30.53","-1.36"
"Apr 25, 2022","30.95","30.95","30.95","30.95","0.19"
"Apr 22, 2022","30.89","30.89","30.89","30.89","-1.66"
"Apr 21, 2022","31.41","31.41","31.41","31.41","-1.13"
"Apr 20, 2022","31.77","31.77","31.77","31.77","0.25"
"Apr 19, 2022","31.69","31.69","31.69","31.69","0.60"
"Apr 18, 2022","31.50","31.50","31.50","31.50","0.00"
"Apr 14, 2022","31.50","31.50","31.50","31.50","-0.79"
"Apr 13, 2022","31.75","31.75","31.75","31.75","0.67"
"Apr 12, 2022","31.54","31.54","31.54","31.54","-0.10"
"Apr 11, 2022","31.57","31.57","31.57","31.57","-0.94"
"Apr 08, 2022","31.87","31.87","31.87","31.87","-0.03"
"Apr 07, 2022","31.88","31.88","31.88","31.88","0.22"
"Apr 06, 2022","31.81","31.81","31.81","31.81","-0.34"
"Apr 05, 2022","31.92","31.92","31.92","31.92","-0.99"
"Apr 04, 2022","32.24","32.24","32.24","32.24","0.34"
"Apr 01, 2022","32.13","32.13","32.13","32.13","0.34"
"Mar 31, 2022","32.02","32.02","32.02","32.02","-0.99"
"Mar 30, 2022","32.34","32.34","32.34","32.34","-0.19"
"Mar 29, 2022","32.40","32.40","32.40","32.40","0.75"
"Mar 28, 2022","32.16","32.16","32.16","32.16","0.16"
"Mar 25, 2022","32.11","32.11","32.11","32.11","0.12"
"Mar 24, 2022","32.07","32.07","32.07","32.07","0.75"
"Mar 23, 2022","31.83","31.83","31.83","31.83","-0.53"
"Mar 22, 2022","32.00","32.00","32.00","32.00","0.31"
"Mar 21, 2022","31.90","31.90","31.90","31.90","-0.28"
"Mar 18, 2022","31.99","31.99","31.99","31.99","0.69"
"Mar 17, 2022","31.77","31.77","31.77","31.77","0.89"
"Mar 16, 2022","31.49","31.49","31.49","31.49","1.16"
"Mar 15, 2022","31.13","31.13","31.13","31.13","1.10"
"Mar 14, 2022","30.79","30.79","30.79","30.79","-0.96"
"Mar 11, 2022","31.09","31.09","31.09","31.09","-0.73"
"Mar 10, 2022","31.32","31.32","31.32","31.32","-0.25"
"Mar 09, 2022","31.40","31.40","31.40","31.40","1.32"
"Mar 08, 2022","30.99","30.99","30.99","30.99","-0.55"
"Mar 07, 2022","31.16","31.16","31.16","31.16","-1.86"
"Mar 04, 2022","31.75","31.75","31.75","31.75","-0.22"
"Mar 03, 2022","31.82","31.82","31.82","31.82","-0.34"
"Mar 02, 2022","31.93","31.93","31.93","31.93","0.85"
"Mar 01, 2022","31.66","31.66","31.66","31.66","-0.66"
"Feb 28, 2022","31.87","31.87","31.87","31.87","0.13"
