"Date","Price","Open","High","Low","Change %"
"May 06, 2022","57.41","57.41","57.41","57.41","-1.41"
"May 05, 2022","58.23","58.23","58.23","58.23","-1.75"
"May 03, 2022","59.27","59.27","59.27","59.27","1.52"
"Apr 29, 2022","58.38","58.38","58.38","58.38","-3.41"
"Apr 28, 2022","60.44","60.44","60.44","60.44","2.65"
"Apr 27, 2022","58.88","58.88","58.88","58.88","0.19"
"Apr 26, 2022","58.77","58.77","58.77","58.77","-4.02"
"Apr 25, 2022","61.23","61.23","61.23","61.23","0.59"
"Apr 22, 2022","60.87","60.87","60.87","60.87","-2.44"
"Apr 21, 2022","62.39","62.39","62.39","62.39","-1.95"
"Apr 20, 2022","63.63","63.63","63.63","63.63","-1.59"
"Apr 19, 2022","64.66","64.66","64.66","64.66","1.99"
"Apr 18, 2022","63.40","63.40","63.40","63.40","-0.19"
"Apr 14, 2022","63.52","63.52","63.52","63.52","-1.64"
"Apr 13, 2022","64.58","64.58","64.58","64.58","1.97"
"Apr 12, 2022","63.33","63.33","63.33","63.33","-0.36"
"Apr 11, 2022","63.56","63.56","63.56","63.56","-1.88"
"Apr 08, 2022","64.78","64.78","64.78","64.78","-0.75"
"Apr 07, 2022","65.27","65.27","65.27","65.27","0.26"
"Apr 06, 2022","65.10","65.10","65.10","65.10","-2.03"
"Apr 05, 2022","66.45","66.45","66.45","66.45","-2.05"
"Apr 04, 2022","67.84","67.84","67.84","67.84","1.66"
"Apr 01, 2022","66.73","66.73","66.73","66.73","0.57"
"Mar 31, 2022","66.35","66.35","66.35","66.35","-1.57"
"Mar 30, 2022","67.41","67.41","67.41","67.41","-0.98"
"Mar 29, 2022","68.08","68.08","68.08","68.08","1.78"
"Mar 28, 2022","66.89","66.89","66.89","66.89","1.36"
"Mar 25, 2022","65.99","65.99","65.99","65.99","-0.24"
"Mar 24, 2022","66.15","66.15","66.15","66.15","1.36"
"Mar 23, 2022","65.26","65.26","65.26","65.26","-1.36"
"Mar 22, 2022","66.16","66.16","66.16","66.16","1.96"
"Mar 21, 2022","64.89","64.89","64.89","64.89","-0.61"
"Mar 18, 2022","65.29","65.29","65.29","65.29","2.03"
"Mar 17, 2022","63.99","63.99","63.99","63.99","1.85"
"Mar 16, 2022","62.83","62.83","62.83","62.83","3.77"
"Mar 15, 2022","60.55","60.55","60.55","60.55","2.54"
"Mar 14, 2022","59.05","59.05","59.05","59.05","-1.65"
"Mar 11, 2022","60.04","60.04","60.04","60.04","-2.15"
"Mar 10, 2022","61.36","61.36","61.36","61.36","-0.53"
"Mar 09, 2022","61.69","61.69","61.69","61.69","3.65"
"Mar 08, 2022","59.52","59.52","59.52","59.52","-0.03"
"Mar 07, 2022","59.54","59.54","59.54","59.54","-3.92"
"Mar 04, 2022","61.97","61.97","61.97","61.97","-1.63"
"Mar 03, 2022","63.00","63.00","63.00","63.00","-1.95"
"Mar 02, 2022","64.25","64.25","64.25","64.25","1.48"
"Mar 01, 2022","63.31","63.31","63.31","63.31","-1.75"
"Feb 28, 2022","64.44","64.44","64.44","64.44","0.45"
"Feb 25, 2022","64.15","64.15","64.15","64.15","1.87"
"Feb 24, 2022","62.97","62.97","62.97","62.97","2.67"
"Feb 23, 2022","61.33","61.33","61.33","61.33","-2.39"
"Feb 22, 2022","62.83","62.83","62.83","62.83","-1.49"
"Feb 18, 2022","63.78","63.78","63.78","63.78","-1.21"
"Feb 17, 2022","64.56","64.56","64.56","64.56","-2.81"
"Feb 16, 2022","66.43","66.43","66.43","66.43","-0.21"
"Feb 15, 2022","66.57","66.57","66.57","66.57","2.31"
"Feb 14, 2022","65.07","65.07","65.07","65.07","-0.08"
"Feb 11, 2022","65.12","65.12","65.12","65.12","-2.59"
"Feb 10, 2022","66.85","66.85","66.85","66.85","-1.65"
"Feb 09, 2022","67.97","67.97","67.97","67.97","2.16"
"Feb 08, 2022","66.53","66.53","66.53","66.53","0.86"
"Feb 07, 2022","65.96","65.96","65.96","65.96","-0.47"
"Feb 04, 2022","66.27","66.27","66.27","66.27","1.64"
"Feb 03, 2022","65.20","65.20","65.20","65.20","-3.65"
"Feb 02, 2022","67.67","67.67","67.67","67.67","0.03"
"Feb 01, 2022","67.65","67.65","67.65","67.65","1.15"
"Jan 31, 2022","66.88","66.88","66.88","66.88","3.55"
"Jan 28, 2022","64.59","64.59","64.59","64.59","2.38"
"Jan 27, 2022","63.09","63.09","63.09","63.09","-1.41"
"Jan 26, 2022","63.99","63.99","63.99","63.99","-0.14"
"Jan 25, 2022","64.08","64.08","64.08","64.08","-2.06"
"Jan 24, 2022","65.43","65.43","65.43","65.43","0.38"
"Jan 21, 2022","65.18","65.18","65.18","65.18","-3.47"
"Jan 20, 2022","67.52","67.52","67.52","67.52","-0.95"
"Jan 19, 2022","68.17","68.17","68.17","68.17","-0.92"
"Jan 18, 2022","68.80","68.80","68.80","68.80","-2.37"
"Jan 14, 2022","70.47","70.47","70.47","70.47","0.30"
"Jan 13, 2022","70.26","70.26","70.26","70.26","-2.57"
"Jan 12, 2022","72.11","72.11","72.11","72.11","0.53"
"Jan 11, 2022","71.73","71.73","71.73","71.73","1.31"
"Jan 10, 2022","70.80","70.80","70.80","70.80","-0.10"
