"Date","Price","Open","High","Low","Change %"
"May 06, 2022","44.97","44.97","44.97","44.97","-0.60"
"May 05, 2022","45.24","45.24","45.24","45.24","-3.11"
"May 04, 2022","46.69","46.69","46.69","46.69","2.66"
"May 03, 2022","45.48","45.48","45.48","45.48","0.53"
"May 02, 2022","45.24","45.24","45.24","45.24","0.60"
"Apr 29, 2022","44.97","44.97","44.97","44.97","-3.33"
"Apr 28, 2022","46.52","46.52","46.52","46.52","2.26"
"Apr 27, 2022","45.49","45.49","45.49","45.49","0.35"
"Apr 26, 2022","45.33","45.33","45.33","45.33","-2.68"
"Apr 25, 2022","46.58","46.58","46.58","46.58","0.19"
"Apr 22, 2022","46.49","46.49","46.49","46.49","-2.48"
"Apr 21, 2022","47.67","47.67","47.67","47.67","-1.67"
"Apr 20, 2022","48.48","48.48","48.48","48.48","-0.57"
"Apr 19, 2022","48.76","48.76","48.76","48.76","1.44"
"Apr 18, 2022","48.07","48.07","48.07","48.07","0.00"
"Apr 14, 2022","48.07","48.07","48.07","48.07","-1.11"
"Apr 13, 2022","48.61","48.61","48.61","48.61","1.08"
"Apr 12, 2022","48.09","48.09","48.09","48.09","-0.31"
"Apr 11, 2022","48.24","48.24","48.24","48.24","-1.49"
"Apr 08, 2022","48.97","48.97","48.97","48.97","-0.02"
"Apr 07, 2022","48.98","48.98","48.98","48.98","0.33"
"Apr 06, 2022","48.82","48.82","48.82","48.82","-0.89"
"Apr 05, 2022","49.26","49.26","49.26","49.26","-1.18"
"Apr 04, 2022","49.85","49.85","49.85","49.85","0.73"
"Apr 01, 2022","49.49","49.49","49.49","49.49","0.57"
"Mar 31, 2022","49.21","49.21","49.21","49.21","-1.48"
"Mar 30, 2022","49.95","49.95","49.95","49.95","-0.36"
"Mar 29, 2022","50.13","50.13","50.13","50.13","1.13"
"Mar 28, 2022","49.57","49.57","49.57","49.57","0.30"
"Mar 25, 2022","49.42","49.42","49.42","49.42","0.51"
"Mar 24, 2022","49.17","49.17","49.17","49.17","1.28"
"Mar 23, 2022","48.55","48.55","48.55","48.55","-1.08"
