"Date","Price","Open","High","Low","Change %"
"May 06, 2022","24.46","24.46","24.46","24.46","-0.29"
"May 05, 2022","24.53","24.53","24.53","24.53","-1.60"
"May 04, 2022","24.93","24.93","24.93","24.93","1.55"
"May 03, 2022","24.55","24.55","24.55","24.55","0.74"
"May 02, 2022","24.37","24.37","24.37","24.37","-0.37"
"Apr 29, 2022","24.46","24.46","24.46","24.46","-1.81"
"Apr 28, 2022","24.91","24.91","24.91","24.91","0.97"
"Apr 27, 2022","24.67","24.67","24.67","24.67","0.20"
"Apr 26, 2022","24.62","24.62","24.62","24.62","-1.16"
"Apr 25, 2022","24.91","24.91","24.91","24.91","-0.24"
"Apr 22, 2022","24.97","24.97","24.97","24.97","-1.50"
"Apr 21, 2022","25.35","25.35","25.35","25.35","-0.82"
"Apr 20, 2022","25.56","25.56","25.56","25.56","0.71"
"Apr 19, 2022","25.38","25.38","25.38","25.38","0.36"
"Apr 18, 2022","25.29","25.29","25.29","25.29","-0.16"
"Apr 14, 2022","25.33","25.33","25.33","25.33","-0.31"
"Apr 13, 2022","25.41","25.41","25.41","25.41","0.55"
"Apr 12, 2022","25.27","25.27","25.27","25.27","-0.12"
"Apr 11, 2022","25.30","25.30","25.30","25.30","-0.75"
"Apr 08, 2022","25.49","25.49","25.49","25.49","0.31"
"Apr 07, 2022","25.41","25.41","25.41","25.41","0.20"
"Apr 06, 2022","25.36","25.36","25.36","25.36","0.12"
"Apr 05, 2022","25.33","25.33","25.33","25.33","-0.51"
"Apr 04, 2022","25.46","25.46","25.46","25.46","0.08"
"Apr 01, 2022","25.44","25.44","25.44","25.44","0.39"
"Mar 31, 2022","25.34","25.34","25.34","25.34","-0.78"
"Mar 30, 2022","25.54","25.54","25.54","25.54","0.08"
"Mar 29, 2022","25.52","25.52","25.52","25.52","0.71"
"Mar 28, 2022","25.34","25.34","25.34","25.34","-0.16"
"Mar 25, 2022","25.38","25.38","25.38","25.38","0.48"
"Mar 24, 2022","25.26","25.26","25.26","25.26","0.64"
"Mar 23, 2022","25.10","25.10","25.10","25.10","-0.44"
"Mar 22, 2022","25.21","25.21","25.21","25.21","0.28"
"Mar 21, 2022","25.14","25.14","25.14","25.14","0.08"
"Mar 18, 2022","25.12","25.12","25.12","25.12","0.28"
"Mar 17, 2022","25.05","25.05","25.05","25.05","1.05"
"Mar 16, 2022","24.79","24.79","24.79","24.79","0.98"
"Mar 15, 2022","24.55","24.55","24.55","24.55","0.61"
"Mar 14, 2022","24.40","24.40","24.40","24.40","-1.01"
"Mar 11, 2022","24.65","24.65","24.65","24.65","-0.64"
"Mar 10, 2022","24.81","24.81","24.81","24.81","-0.20"
"Mar 09, 2022","24.86","24.86","24.86","24.86","1.22"
"Mar 08, 2022","24.56","24.56","24.56","24.56","-0.69"
"Mar 07, 2022","24.73","24.73","24.73","24.73","-1.67"
"Mar 04, 2022","25.15","25.15","25.15","25.15","-0.32"
"Mar 03, 2022","25.23","25.23","25.23","25.23","-0.24"
"Mar 02, 2022","25.29","25.29","25.29","25.29","1.20"
"Mar 01, 2022","24.99","24.99","24.99","24.99","-0.75"
"Feb 28, 2022","25.18","25.18","25.18","25.18","-0.32"
"Feb 25, 2022","25.26","25.26","25.26","25.26","2.10"
"Feb 24, 2022","24.74","24.74","24.74","24.74","-0.80"
"Feb 23, 2022","24.94","24.94","24.94","24.94","-0.64"
