"Date","Price","Open","High","Low","Change %"
"Feb 10, 2010","23.73","23.73","23.73","23.73","-0.34"
"Feb 09, 2010","23.81","23.81","23.81","23.81","1.45"
"Feb 08, 2010","23.47","23.47","23.47","23.47","-0.89"
"Feb 05, 2010","23.68","23.68","23.68","23.68","-0.08"
"Feb 04, 2010","23.70","23.70","23.70","23.70","-2.71"
"Feb 03, 2010","24.36","24.36","24.36","24.36","-0.53"
"Feb 02, 2010","24.49","24.49","24.49","24.49","1.24"
"Feb 01, 2010","24.19","24.19","24.19","24.19","1.21"
"Jan 29, 2010","23.90","23.90","23.90","23.90","-0.79"
"Jan 28, 2010","24.09","24.09","24.09","24.09","-0.95"
"Jan 27, 2010","24.32","24.32","24.32","24.32","0.25"
"Jan 26, 2010","24.26","24.26","24.26","24.26","-0.29"
"Jan 25, 2010","24.33","24.33","24.33","24.33","0.37"
"Jan 22, 2010","24.24","24.24","24.24","24.24","-1.90"
"Jan 21, 2010","24.71","24.71","24.71","24.71","-1.63"
"Jan 20, 2010","25.12","25.12","25.12","25.12","-1.02"
"Jan 19, 2010","25.38","25.38","25.38","25.38","1.16"
"Jan 15, 2010","25.09","25.09","25.09","25.09","-0.91"
"Jan 14, 2010","25.32","25.32","25.32","25.32","0.16"
"Jan 13, 2010","25.28","25.28","25.28","25.28","0.64"
"Jan 12, 2010","25.12","25.12","25.12","25.12","-0.48"
"Jan 11, 2010","25.24","25.24","25.24","25.24","0.60"
"Jan 08, 2010","25.09","25.09","25.09","25.09","0.08"
"Jan 07, 2010","25.07","25.07","25.07","25.07","0.24"
"Jan 06, 2010","25.01","25.01","25.01","25.01","0.12"
"Jan 05, 2010","24.98","24.98","24.98","24.98","-0.04"
"Jan 04, 2010","24.99","24.99","24.99","24.99","1.42"
"Dec 31, 2009","24.64","24.64","24.64","24.64","-1.08"
"Dec 30, 2009","24.91","24.91","24.91","24.91","0.12"
"Dec 29, 2009","24.88","24.88","24.88","24.88","-0.08"
"Dec 28, 2009","24.90","24.90","24.90","24.90","0.16"
"Dec 24, 2009","24.86","24.86","24.86","24.86","0.44"
"Dec 23, 2009","24.75","24.75","24.75","24.75","0.08"
"Dec 22, 2009","24.73","24.73","24.73","24.73","0.20"
"Dec 21, 2009","24.68","24.68","24.68","24.68","0.90"
"Dec 18, 2009","24.46","24.46","24.46","24.46","-0.53"
"Dec 17, 2009","24.59","24.59","24.59","24.59","-1.09"
"Dec 16, 2009","24.86","24.86","24.86","24.86","-0.04"
"Dec 15, 2009","24.87","24.87","24.87","24.87","-0.48"
"Dec 14, 2009","24.99","24.99","24.99","24.99","0.56"
"Dec 11, 2009","24.85","24.85","24.85","24.85","0.61"
"Dec 10, 2009","24.70","24.70","24.70","24.70","0.57"
"Dec 09, 2009","24.56","24.56","24.56","24.56","0.24"
"Dec 08, 2009","24.50","24.50","24.50","24.50","-1.05"
"Dec 07, 2009","24.76","24.76","24.76","24.76","0.20"
"Dec 04, 2009","24.71","24.71","24.71","24.71","0.28"
"Dec 03, 2009","24.64","24.64","24.64","24.64","-0.65"
"Dec 02, 2009","24.80","24.80","24.80","24.80","0.12"
"Dec 01, 2009","24.77","24.77","24.77","24.77","1.31"
"Nov 30, 2009","24.45","24.45","24.45","24.45","0.12"
"Nov 27, 2009","24.42","24.42","24.42","24.42","-1.49"
"Nov 25, 2009","24.79","24.79","24.79","24.79","0.53"
"Nov 24, 2009","24.66","24.66","24.66","24.66","0.20"
"Nov 23, 2009","24.61","24.61","24.61","24.61","1.32"
"Nov 20, 2009","24.29","24.29","24.29","24.29","0.00"
"Nov 19, 2009","24.29","24.29","24.29","24.29","-1.18"
"Nov 18, 2009","24.58","24.58","24.58","24.58","-0.12"
"Nov 17, 2009","24.61","24.61","24.61","24.61","0.12"
"Nov 16, 2009","24.58","24.58","24.58","24.58","1.49"
"Nov 13, 2009","24.22","24.22","24.22","24.22","0.67"
"Nov 12, 2009","24.06","24.06","24.06","24.06","-0.82"
"Nov 11, 2009","24.26","24.26","24.26","24.26","0.37"
"Nov 10, 2009","24.17","24.17","24.17","24.17","0.25"
"Nov 09, 2009","24.11","24.11","24.11","24.11","1.99"
"Nov 06, 2009","23.64","23.64","23.64","23.64","0.17"
"Nov 05, 2009","23.60","23.60","23.60","23.60","1.86"
"Nov 04, 2009","23.17","23.17","23.17","23.17","0.43"
"Nov 03, 2009","23.07","23.07","23.07","23.07","-0.04"
"Nov 02, 2009","23.08","23.08","23.08","23.08","0.52"
"Oct 30, 2009","22.96","22.96","22.96","22.96","-2.21"
"Oct 29, 2009","23.48","23.48","23.48","23.48","1.47"
"Oct 28, 2009","23.14","23.14","23.14","23.14","-1.24"
"Oct 27, 2009","23.43","23.43","23.43","23.43","0.09"
"Oct 26, 2009","23.41","23.41","23.41","23.41","-1.06"
"Oct 23, 2009","23.66","23.66","23.66","23.66","-1.38"
"Oct 22, 2009","23.99","23.99","23.99","23.99","1.05"
"Oct 21, 2009","23.74","23.74","23.74","23.74","-0.67"
"Oct 20, 2009","23.90","23.90","23.90","23.90","-0.71"
"Oct 19, 2009","24.07","24.07","24.07","24.07","1.05"
"Oct 16, 2009","23.82","23.82","23.82","23.82","-0.29"
"Oct 15, 2009","23.89","23.89","23.89","23.89","0.72"
"Oct 14, 2009","23.72","23.72","23.72","23.72","1.45"
"Oct 13, 2009","23.38","23.38","23.38","23.38","-0.21"
"Oct 12, 2009","23.43","23.43","23.43","23.43","0.39"
"Oct 09, 2009","23.34","23.34","23.34","23.34","0.52"
"Oct 08, 2009","23.22","23.22","23.22","23.22","0.69"
"Oct 07, 2009","23.06","23.06","23.06","23.06","0.09"
"Oct 06, 2009","23.04","23.04","23.04","23.04","1.19"
"Oct 05, 2009","22.77","22.77","22.77","22.77","1.11"
"Oct 02, 2009","22.52","22.52","22.52","22.52","-0.40"
"Oct 01, 2009","22.61","22.61","22.61","22.61","-2.04"
"Sep 30, 2009","23.08","23.08","23.08","23.08","-0.43"
"Sep 29, 2009","23.18","23.18","23.18","23.18","-0.26"
"Sep 28, 2009","23.24","23.24","23.24","23.24","1.48"
"Sep 25, 2009","22.90","22.90","22.90","22.90","-1.12"
"Sep 24, 2009","23.16","23.16","23.16","23.16","-0.69"
"Sep 23, 2009","23.32","23.32","23.32","23.32","-0.72"
"Sep 22, 2009","23.49","23.49","23.49","23.49","0.38"
"Sep 21, 2009","23.40","23.40","23.40","23.40","-0.59"
"Sep 18, 2009","23.54","23.54","23.54","23.54","0.47"
"Sep 17, 2009","23.43","23.43","23.43","23.43","-0.26"
"Sep 16, 2009","23.49","23.49","23.49","23.49","1.03"
"Sep 15, 2009","23.25","23.25","23.25","23.25","0.48"
"Sep 14, 2009","23.14","23.14","23.14","23.14","0.61"
"Sep 11, 2009","23.00","23.00","23.00","23.00","-0.04"
"Sep 10, 2009","23.01","23.01","23.01","23.01","0.79"
"Sep 09, 2009","22.83","22.83","22.83","22.83","0.66"
"Sep 08, 2009","22.68","22.68","22.68","22.68","0.67"
"Sep 04, 2009","22.53","22.53","22.53","22.53","1.17"
"Sep 03, 2009","22.27","22.27","22.27","22.27","0.50"
"Sep 02, 2009","22.16","22.16","22.16","22.16","-0.40"
"Sep 01, 2009","22.25","22.25","22.25","22.25","-1.72"
"Aug 31, 2009","22.64","22.64","22.64","22.64","-0.66"
"Aug 28, 2009","22.79","22.79","22.79","22.79","-0.35"
"Aug 27, 2009","22.87","22.87","22.87","22.87","0.40"
"Aug 26, 2009","22.78","22.78","22.78","22.78","0.04"
"Aug 25, 2009","22.77","22.77","22.77","22.77","0.26"
"Aug 24, 2009","22.71","22.71","22.71","22.71","-0.09"
"Aug 21, 2009","22.73","22.73","22.73","22.73","1.93"
"Aug 20, 2009","22.30","22.30","22.30","22.30","0.77"
"Aug 19, 2009","22.13","22.13","22.13","22.13","0.77"
"Aug 18, 2009","21.96","21.96","21.96","21.96","0.69"
"Aug 17, 2009","21.81","21.81","21.81","21.81","-1.93"
"Aug 14, 2009","22.24","22.24","22.24","22.24","-0.80"
"Aug 13, 2009","22.42","22.42","22.42","22.42","0.36"
"Aug 12, 2009","22.34","22.34","22.34","22.34","1.09"
"Aug 11, 2009","22.10","22.10","22.10","22.10","-0.81"
"Aug 10, 2009","22.28","22.28","22.28","22.28","-0.36"
"Aug 07, 2009","22.36","22.36","22.36","22.36","1.27"
"Aug 06, 2009","22.08","22.08","22.08","22.08","-0.27"
"Aug 05, 2009","22.14","22.14","22.14","22.14","-0.40"
"Aug 04, 2009","22.23","22.23","22.23","22.23","-0.04"
"Aug 03, 2009","22.24","22.24","22.24","22.24","1.18"
"Jul 31, 2009","21.98","21.98","21.98","21.98","0.05"
"Jul 30, 2009","21.97","21.97","21.97","21.97","1.01"
"Jul 29, 2009","21.75","21.75","21.75","21.75","-0.23"
"Jul 28, 2009","21.80","21.80","21.80","21.80","-0.27"
