"Date","Price","Open","High","Low","Change %"
"Aug 08, 2017","2.643","2.660","2.661","2.634","-0.68"
"Aug 07, 2017","2.661","2.643","2.699","2.601","0.57"
"Aug 06, 2017","2.646","2.646","2.646","2.620","0.00"
"Aug 05, 2017","2.646","2.620","2.646","2.620","0.42"
"Aug 04, 2017","2.635","2.643","2.661","2.601","-1.86"
"Aug 03, 2017","2.685","2.712","2.713","2.662","-1.29"
"Aug 02, 2017","2.720","2.699","2.726","2.671","0.18"
"Aug 01, 2017","2.715","2.712","2.729","2.692","0.74"
"Jul 31, 2017","2.695","2.718","2.718","2.685","-0.59"
"Jul 30, 2017","2.711","2.683","2.711","2.683","0.44"
"Jul 29, 2017","2.699","2.699","2.699","2.699","0.00"
"Jul 28, 2017","2.699","2.723","2.736","2.695","0.15"
"Jul 27, 2017","2.695","2.711","2.711","2.685","-1.61"
"Jul 26, 2017","2.739","2.778","2.778","2.721","1.48"
"Jul 25, 2017","2.699","2.721","2.721","2.695","0.71"
"Jul 24, 2017","2.680","2.707","2.733","2.664","-1.00"
"Jul 23, 2017","2.707","2.703","2.717","2.698","0.26"
"Jul 22, 2017","2.700","2.698","2.700","2.698","-0.44"
"Jul 21, 2017","2.712","2.756","2.763","2.687","-1.88"
"Jul 20, 2017","2.764","2.761","2.794","2.719","1.28"
"Jul 19, 2017","2.729","2.736","2.742","2.719","-1.37"
"Jul 18, 2017","2.767","2.745","2.790","2.696","1.39"
"Jul 17, 2017","2.729","2.741","2.771","2.704","0.52"
"Jul 16, 2017","2.715","2.715","2.715","2.715","0.00"
"Jul 15, 2017","2.715","2.715","2.715","2.715","-0.66"
"Jul 14, 2017","2.733","2.723","2.749","2.720","1.30"
"Jul 13, 2017","2.698","2.733","2.733","2.733","-3.02"
"Jul 12, 2017","2.782","2.781","2.788","2.775","-0.47"
"Jul 11, 2017","2.795","2.782","2.798","2.772","0.36"
"Jul 10, 2017","2.785","2.782","2.794","2.778","0.61"
"Jul 08, 2017","2.768","2.778","2.778","2.768","3.48"
"Jul 07, 2017","2.675","2.639","2.691","2.621","3.52"
"Jul 06, 2017","2.584","2.583","2.605","2.557","-0.39"
"Jul 05, 2017","2.594","2.598","2.600","2.576","-0.84"
"Jul 04, 2017","2.616","2.644","2.651","2.605","-0.98"
"Jul 03, 2017","2.642","2.655","2.663","2.628","-0.45"
"Jul 02, 2017","2.654","2.598","2.654","2.598","2.16"
"Jul 01, 2017","2.598","2.650","2.650","2.598","-0.19"
"Jun 30, 2017","2.603","2.605","2.608","2.580","3.66"
"Jun 29, 2017","2.511","2.486","2.512","2.479","2.57"
"Jun 28, 2017","2.448","2.451","2.458","2.438","3.20"
"Jun 27, 2017","2.372","2.371","2.378","2.342","-0.67"
"Jun 26, 2017","2.388","2.381","2.397","2.373","0.29"
"Jun 25, 2017","2.381","2.390","2.390","2.370","0.46"
"Jun 24, 2017","2.370","2.370","2.370","2.370","-0.80"
"Jun 23, 2017","2.389","2.393","2.402","2.382","-0.21"
"Jun 22, 2017","2.394","2.418","2.418","2.388","-0.62"
"Jun 21, 2017","2.409","2.424","2.430","2.399","-1.23"
"Jun 20, 2017","2.439","2.448","2.450","2.434","0.37"
"Jun 19, 2017","2.430","2.423","2.439","2.411","0.29"
"Jun 18, 2017","2.423","2.425","2.425","2.405","0.33"
"Jun 17, 2017","2.415","2.425","2.425","2.415","-0.37"
"Jun 16, 2017","2.424","2.413","2.429","2.394","2.28"
"Jun 15, 2017","2.370","2.341","2.383","2.332","-1.90"
"Jun 14, 2017","2.416","2.412","2.425","2.404","0.12"
"Jun 13, 2017","2.413","2.439","2.441","2.413","-1.07"
"Jun 12, 2017","2.439","2.433","2.441","2.406","0.33"
"Jun 11, 2017","2.431","2.416","2.431","2.400","1.29"
"Jun 10, 2017","2.400","2.400","2.400","2.400","-0.74"
"Jun 09, 2017","2.418","2.431","2.435","2.388","-0.37"
"Jun 08, 2017","2.427","2.422","2.432","2.397","1.08"
"Jun 07, 2017","2.401","2.369","2.408","2.358","0.25"
"Jun 06, 2017","2.395","2.428","2.435","2.380","0.00"
"Jun 05, 2017","2.395","2.389","2.410","2.361","0.25"
"Jun 04, 2017","2.389","2.373","2.413","2.373","-0.99"
"Jun 03, 2017","2.413","2.413","2.413","2.413","-0.49"
"Jun 02, 2017","2.425","2.417","2.433","2.411","1.08"
"Jun 01, 2017","2.399","2.409","2.424","2.375","0.17"
"May 31, 2017","2.395","2.393","2.407","2.389","-0.33"
"May 30, 2017","2.403","2.422","2.431","2.381","-1.23"
"May 29, 2017","2.433","2.412","2.442","2.406","0.87"
"May 28, 2017","2.412","2.398","2.412","2.398","0.17"
"May 27, 2017","2.408","2.408","2.408","2.408","-0.21"
"May 26, 2017","2.413","2.451","2.458","2.413","-1.59"
"May 25, 2017","2.452","2.450","2.457","2.442","-1.45"
"May 24, 2017","2.488","2.506","2.513","2.488","0.81"
"May 23, 2017","2.468","2.496","2.497","2.454","-1.36"
"May 22, 2017","2.502","2.493","2.512","2.444","1.17"
"May 21, 2017","2.473","2.480","2.480","2.473","0.00"
"May 20, 2017","2.473","2.473","2.473","2.473","-0.56"
"May 19, 2017","2.487","2.509","2.509","2.479","-0.36"
