"Date","Price","Open","High","Low","Change %"
"Dec 11, 2018","2.081","2.074","2.088","2.054","1.02"
"Dec 10, 2018","2.060","2.064","2.077","2.036","-0.72"
"Dec 07, 2018","2.075","2.063","2.124","2.063","-0.81"
"Dec 06, 2018","2.092","2.111","2.141","2.026","-2.01"
"Dec 05, 2018","2.135","2.178","2.185","2.118","-1.66"
"Dec 04, 2018","2.171","2.223","2.243","2.168","-2.91"
"Dec 03, 2018","2.236","2.293","2.301","2.234","-1.41"
"Nov 30, 2018","2.268","2.301","2.304","2.265","-1.56"
"Nov 29, 2018","2.304","2.293","2.318","2.289","-1.03"
"Nov 28, 2018","2.328","2.323","2.335","2.313","-0.43"
"Nov 27, 2018","2.338","2.347","2.349","2.325","-0.68"
"Nov 26, 2018","2.354","2.362","2.364","2.352","0.64"
"Nov 23, 2018","2.339","2.369","2.376","2.330","-1.27"
"Nov 22, 2018","2.369","2.366","2.373","2.361","0.34"
"Nov 21, 2018","2.361","2.358","2.375","2.344","0.47"
"Nov 20, 2018","2.350","2.335","2.365","2.332","-0.30"
"Nov 19, 2018","2.357","2.371","2.383","2.351","-0.25"
"Nov 16, 2018","2.363","2.392","2.399","2.360","-1.09"
"Nov 15, 2018","2.389","2.395","2.411","2.372","-1.93"
"Nov 14, 2018","2.436","2.450","2.473","2.404","-0.85"
"Nov 13, 2018","2.457","2.486","2.500","2.455","-1.99"
"Nov 09, 2018","2.507","2.513","2.537","2.496","-1.49"
"Nov 08, 2018","2.545","2.528","2.545","2.522","0.28"
"Nov 07, 2018","2.538","2.507","2.538","2.507","0.16"
"Nov 06, 2018","2.534","2.515","2.535","2.510","0.68"
"Nov 05, 2018","2.517","2.534","2.534","2.512","-0.67"
"Nov 02, 2018","2.534","2.511","2.534","2.499","2.14"
"Nov 01, 2018","2.481","2.463","2.546","2.459","-0.48"
"Oct 31, 2018","2.493","2.463","2.499","2.459","1.59"
"Oct 30, 2018","2.454","2.410","2.454","2.405","2.42"
"Oct 29, 2018","2.396","2.417","2.417","2.380","0.08"
"Oct 26, 2018","2.394","2.404","2.421","2.376","-2.37"
"Oct 25, 2018","2.452","2.459","2.471","2.425","0.41"
"Oct 24, 2018","2.442","2.427","2.471","2.427","-0.29"
"Oct 23, 2018","2.449","2.450","2.454","2.418","-1.45"
"Oct 22, 2018","2.485","2.505","2.505","2.473","-0.60"
"Oct 19, 2018","2.500","2.505","2.518","2.456","0.04"
"Oct 18, 2018","2.499","2.522","2.528","2.478","-0.99"
"Oct 17, 2018","2.524","2.497","2.524","2.471","0.88"
"Oct 16, 2018","2.502","2.508","2.518","2.497","0.00"
"Oct 15, 2018","2.502","2.486","2.509","2.474","0.12"
"Oct 12, 2018","2.499","2.517","2.521","2.477","-0.12"
"Oct 11, 2018","2.502","2.535","2.554","2.485","-1.30"
"Oct 10, 2018","2.535","2.594","2.611","2.535","-1.36"
"Oct 09, 2018","2.570","2.608","2.608","2.566","-1.19"
"Oct 05, 2018","2.601","2.569","2.615","2.569","1.64"
"Oct 04, 2018","2.559","2.565","2.584","2.544","0.31"
"Oct 03, 2018","2.551","2.470","2.551","2.470","3.53"
"Oct 02, 2018","2.464","2.489","2.494","2.455","-1.68"
"Oct 01, 2018","2.506","2.482","2.519","2.471","3.26"
"Sep 28, 2018","2.427","2.403","2.431","2.394","0.17"
"Sep 27, 2018","2.423","2.416","2.435","2.405","0.29"
"Sep 26, 2018","2.416","2.449","2.461","2.415","-1.79"
"Sep 25, 2018","2.460","2.472","2.472","2.459","0.41"
"Sep 24, 2018","2.450","2.438","2.459","2.404","0.82"
"Sep 21, 2018","2.430","2.429","2.441","2.416","0.37"
"Sep 20, 2018","2.421","2.423","2.444","2.418","0.00"
