"Date","Price","Open","High","Low","Change %"
"May 06, 2022","230.43","230.43","230.43","230.43","-0.55"
"May 05, 2022","231.71","231.71","231.71","231.71","-2.52"
"May 04, 2022","237.70","237.70","237.70","237.70","2.75"
"May 03, 2022","231.33","231.33","231.33","231.33","0.83"
"May 02, 2022","229.42","229.42","229.42","229.42","1.03"
"Apr 29, 2022","227.09","227.09","227.09","227.09","-3.23"
"Apr 28, 2022","234.66","234.66","234.66","234.66","1.59"
"Apr 27, 2022","230.98","230.98","230.98","230.98","0.00"
"Apr 26, 2022","230.97","230.97","230.97","230.97","-2.28"
"Apr 25, 2022","236.35","236.35","236.35","236.35","0.12"
"Apr 22, 2022","236.06","236.06","236.06","236.06","-2.76"
"Apr 21, 2022","242.75","242.75","242.75","242.75","-1.69"
"Apr 20, 2022","246.92","246.92","246.92","246.92","0.48"
"Apr 19, 2022","245.75","245.75","245.75","245.75","1.14"
"Apr 18, 2022","242.99","242.99","242.99","242.99","-0.24"
"Apr 14, 2022","243.57","243.57","243.57","243.57","-0.94"
"Apr 13, 2022","245.88","245.88","245.88","245.88","1.23"
"Apr 12, 2022","242.90","242.90","242.90","242.90","-0.59"
"Apr 11, 2022","244.33","244.33","244.33","244.33","-1.00"
"Apr 08, 2022","246.79","246.79","246.79","246.79","0.93"
"Apr 07, 2022","244.52","244.52","244.52","244.52","0.56"
"Apr 06, 2022","243.15","243.15","243.15","243.15","-0.47"
"Apr 05, 2022","244.29","244.29","244.29","244.29","-1.07"
"Apr 04, 2022","246.93","246.93","246.93","246.93","0.15"
"Apr 01, 2022","246.57","246.57","246.57","246.57","0.42"
"Mar 31, 2022","245.54","245.54","245.54","245.54","-2.01"
"Mar 30, 2022","250.57","250.57","250.57","250.57","-0.72"
"Mar 29, 2022","252.39","252.39","252.39","252.39","0.91"
"Mar 28, 2022","250.11","250.11","250.11","250.11","-1.18"
"Mar 25, 2022","253.10","253.10","253.10","253.10","0.86"
"Mar 24, 2022","250.93","250.93","250.93","250.93","0.83"
"Mar 23, 2022","248.87","248.87","248.87","248.87","-1.39"
"Mar 22, 2022","252.39","252.39","252.39","252.39","1.17"
"Mar 21, 2022","249.46","249.46","249.46","249.46","0.10"
"Mar 18, 2022","249.20","249.20","249.20","249.20","0.47"
"Mar 17, 2022","248.04","248.04","248.04","248.04","1.24"
"Mar 16, 2022","245.00","245.00","245.00","245.00","2.00"
"Mar 15, 2022","240.19","240.19","240.19","240.19","1.12"
"Mar 14, 2022","237.53","237.53","237.53","237.53","-0.18"
"Mar 11, 2022","237.95","237.95","237.95","237.95","-0.76"
"Mar 10, 2022","239.78","239.78","239.78","239.78","-0.38"
"Mar 09, 2022","240.70","240.70","240.70","240.70","2.82"
"Mar 08, 2022","234.09","234.09","234.09","234.09","0.19"
"Mar 07, 2022","233.65","233.65","233.65","233.65","-2.72"
"Mar 04, 2022","240.18","240.18","240.18","240.18","-0.74"
"Mar 03, 2022","241.96","241.96","241.96","241.96","-0.67"
"Mar 02, 2022","243.59","243.59","243.59","243.59","2.14"
"Mar 01, 2022","238.49","238.49","238.49","238.49","-2.26"
"Feb 28, 2022","244.01","244.01","244.01","244.01","-0.23"
"Feb 25, 2022","244.58","244.58","244.58","244.58","2.43"
"Feb 24, 2022","238.77","238.77","238.77","238.77","-0.08"
"Feb 23, 2022","238.97","238.97","238.97","238.97","-1.32"
"Feb 22, 2022","242.17","242.17","242.17","242.17","-0.99"
