"Date","Price","Open","High","Low","Change %"
"May 06, 2022","14.64","14.64","14.64","14.64","-0.95"
"May 05, 2022","14.78","14.78","14.78","14.78","-4.27"
"May 04, 2022","15.44","15.44","15.44","15.44","3.28"
"May 02, 2022","14.95","14.95","14.95","14.95","0.88"
"Apr 29, 2022","14.82","14.82","14.82","14.82","-4.14"
"Apr 28, 2022","15.46","15.46","15.46","15.46","3.76"
"Apr 27, 2022","14.90","14.90","14.90","14.90","-0.07"
"Apr 26, 2022","14.91","14.91","14.91","14.91","-2.99"
"Apr 25, 2022","15.37","15.37","15.37","15.37","0.92"
"Apr 22, 2022","15.23","15.23","15.23","15.23","-2.93"
"Apr 21, 2022","15.69","15.69","15.69","15.69","-2.49"
"Apr 20, 2022","16.09","16.09","16.09","16.09","-1.23"
"Apr 19, 2022","16.29","16.29","16.29","16.29","1.56"
"Apr 18, 2022","16.04","16.04","16.04","16.04","0.12"
"Apr 14, 2022","16.02","16.02","16.02","16.02","-1.54"
"Apr 13, 2022","16.27","16.27","16.27","16.27","1.24"
"Apr 12, 2022","16.07","16.07","16.07","16.07","-0.50"
"Apr 11, 2022","16.15","16.15","16.15","16.15","-1.82"
"Apr 08, 2022","16.45","16.45","16.45","16.45","-0.42"
"Apr 07, 2022","16.52","16.52","16.52","16.52","0.36"
"Apr 06, 2022","16.46","16.46","16.46","16.46","-1.73"
"Apr 05, 2022","16.75","16.75","16.75","16.75","-1.53"
"Apr 04, 2022","17.01","17.01","17.01","17.01","1.19"
"Apr 01, 2022","16.81","16.81","16.81","16.81","0.30"
"Mar 31, 2022","16.76","16.76","16.76","16.76","-1.70"
"Mar 30, 2022","17.05","17.05","17.05","17.05","-0.76"
"Mar 29, 2022","17.18","17.18","17.18","17.18","1.06"
"Mar 28, 2022","17.00","17.00","17.00","17.00","0.83"
"Mar 25, 2022","16.86","16.86","16.86","16.86","0.24"
"Mar 24, 2022","16.82","16.82","16.82","16.82","1.63"
"Mar 23, 2022","16.55","16.55","16.55","16.55","-1.25"
"Mar 22, 2022","16.76","16.76","16.76","16.76","1.21"
"Mar 21, 2022","16.56","16.56","16.56","16.56","-0.18"
"Mar 18, 2022","16.59","16.59","16.59","16.59","1.59"
"Mar 17, 2022","16.33","16.33","16.33","16.33","1.55"
"Mar 16, 2022","16.08","16.08","16.08","16.08","3.01"
"Mar 15, 2022","15.61","15.61","15.61","15.61","2.43"
"Mar 14, 2022","15.24","15.24","15.24","15.24","-1.17"
"Mar 11, 2022","15.42","15.42","15.42","15.42","-1.47"
"Mar 10, 2022","15.65","15.65","15.65","15.65","-0.25"
"Mar 09, 2022","15.69","15.69","15.69","15.69","3.36"
"Mar 08, 2022","15.18","15.18","15.18","15.18","-0.52"
"Mar 07, 2022","15.26","15.26","15.26","15.26","-3.60"
"Mar 04, 2022","15.83","15.83","15.83","15.83","-1.31"
"Mar 03, 2022","16.04","16.04","16.04","16.04","-1.17"
"Mar 02, 2022","16.23","16.23","16.23","16.23","1.63"
"Mar 01, 2022","15.97","15.97","15.97","15.97","-1.60"
"Feb 28, 2022","16.23","16.23","16.23","16.23","-0.06"
"Feb 25, 2022","16.24","16.24","16.24","16.24","1.95"
"Feb 24, 2022","15.93","15.93","15.93","15.93","2.44"
"Feb 23, 2022","15.55","15.55","15.55","15.55","-1.89"
"Feb 22, 2022","15.85","15.85","15.85","15.85","-1.12"
"Feb 18, 2022","16.03","16.03","16.03","16.03","-0.87"
"Feb 17, 2022","16.17","16.17","16.17","16.17","-2.59"
"Feb 16, 2022","16.60","16.60","16.60","16.60","-0.12"
"Feb 15, 2022","16.62","16.62","16.62","16.62","1.84"
"Feb 14, 2022","16.32","16.32","16.32","16.32","-0.18"
"Feb 11, 2022","16.35","16.35","16.35","16.35","-2.62"
"Feb 10, 2022","16.79","16.79","16.79","16.79","-1.76"
"Feb 09, 2022","17.09","17.09","17.09","17.09","1.85"
"Feb 08, 2022","16.78","16.78","16.78","16.78","0.84"
"Feb 07, 2022","16.64","16.64","16.64","16.64","-0.72"
"Feb 04, 2022","16.76","16.76","16.76","16.76","0.18"
"Feb 03, 2022","16.73","16.73","16.73","16.73","-5.21"
"Feb 02, 2022","17.65","17.65","17.65","17.65","1.09"
"Feb 01, 2022","17.46","17.46","17.46","17.46","1.04"
"Jan 31, 2022","17.28","17.28","17.28","17.28","2.67"
"Jan 28, 2022","16.83","16.83","16.83","16.83","2.68"
"Jan 27, 2022","16.39","16.39","16.39","16.39","-0.43"
"Jan 26, 2022","16.46","16.46","16.46","16.46","-0.06"
"Jan 25, 2022","16.47","16.47","16.47","16.47","-2.02"
