"Date","Price","Open","High","Low","Change %"
"Oct 05, 1990","1.60","1.60","1.60","1.60","-0.31"
"Oct 04, 1990","1.61","1.61","1.61","1.61","0.00"
"Oct 03, 1990","1.61","1.61","1.61","1.61","-0.56"
"Oct 02, 1990","1.62","1.62","1.62","1.62","0.69"
"Oct 01, 1990","1.61","1.61","1.61","1.61","1.84"
"Sep 28, 1990","1.58","1.58","1.58","1.58","0.64"
"Sep 27, 1990","1.57","1.57","1.57","1.57","-1.45"
"Sep 26, 1990","1.59","1.59","1.59","1.59","-0.87"
"Sep 25, 1990","1.60","1.60","1.60","1.60","0.63"
"Sep 24, 1990","1.59","1.59","1.59","1.59","-1.73"
"Sep 21, 1990","1.62","1.62","1.62","1.62","-0.55"
"Sep 20, 1990","1.63","1.63","1.63","1.63","-0.97"
"Sep 19, 1990","1.65","1.65","1.65","1.65","0.12"
"Sep 18, 1990","1.64","1.64","1.64","1.64","-0.12"
"Sep 17, 1990","1.65","1.65","1.65","1.65","-0.24"
"Sep 14, 1990","1.65","1.65","1.65","1.65","-0.72"
"Sep 13, 1990","1.66","1.66","1.66","1.66","-0.66"
"Sep 12, 1990","1.67","1.67","1.67","1.67","0.54"
"Sep 11, 1990","1.66","1.66","1.66","1.66","-0.30"
"Sep 10, 1990","1.67","1.67","1.67","1.67","0.54"
"Sep 07, 1990","1.66","1.66","1.66","1.66","0.18"
"Sep 06, 1990","1.66","1.66","1.66","1.66","-0.42"
"Sep 05, 1990","1.66","1.66","1.66","1.66","0.79"
"Sep 04, 1990","1.65","1.65","1.65","1.65","0.36"
"Aug 31, 1990","1.64","1.64","1.64","1.64","0.30"
"Aug 30, 1990","1.64","1.64","1.64","1.64","-0.79"
"Aug 29, 1990","1.65","1.65","1.65","1.65","0.43"
"Aug 28, 1990","1.65","1.65","1.65","1.65","0.73"
"Aug 27, 1990","1.63","1.63","1.63","1.63","3.22"
"Aug 24, 1990","1.58","1.58","1.58","1.58","0.76"
"Aug 23, 1990","1.57","1.57","1.57","1.57","-3.20"
"Aug 22, 1990","1.62","1.62","1.62","1.62","-0.86"
"Aug 21, 1990","1.64","1.64","1.64","1.64","-1.50"
"Aug 20, 1990","1.66","1.66","1.66","1.66","-0.48"
"Aug 17, 1990","1.67","1.67","1.67","1.67","-1.53"
"Aug 16, 1990","1.70","1.70","1.70","1.70","-1.22"
"Aug 15, 1990","1.72","1.72","1.72","1.72","0.06"
"Aug 14, 1990","1.72","1.72","1.72","1.72","0.47"
"Aug 13, 1990","1.71","1.71","1.71","1.71","0.12"
"Aug 10, 1990","1.71","1.71","1.71","1.71","-0.81"
"Aug 09, 1990","1.72","1.72","1.72","1.72","0.94"
"Aug 08, 1990","1.70","1.70","1.70","1.70","1.67"
"Aug 07, 1990","1.68","1.68","1.68","1.68","0.18"
"Aug 06, 1990","1.67","1.67","1.67","1.67","-2.68"
"Aug 03, 1990","1.72","1.72","1.72","1.72","-2.39"
"Aug 02, 1990","1.76","1.76","1.76","1.76","-1.18"
"Aug 01, 1990","1.78","1.78","1.78","1.78","-0.11"
"Jul 31, 1990","1.78","1.78","1.78","1.78","-0.17"
"Jul 30, 1990","1.79","1.79","1.79","1.79","-0.39"
"Jul 27, 1990","1.79","1.79","1.79","1.79","-0.33"
"Jul 26, 1990","1.80","1.80","1.80","1.80","0.17"
"Jul 25, 1990","1.80","1.80","1.80","1.80","0.67"
"Jul 24, 1990","1.78","1.78","1.78","1.78","-0.34"
"Jul 23, 1990","1.79","1.79","1.79","1.79","-2.18"
"Jul 20, 1990","1.83","1.83","1.83","1.83","-0.76"
"Jul 19, 1990","1.85","1.85","1.85","1.85","-0.54"
"Jul 18, 1990","1.86","1.86","1.86","1.86","-0.48"
"Jul 17, 1990","1.86","1.86","1.86","1.86","-0.53"
"Jul 16, 1990","1.87","1.87","1.87","1.87","0.32"
"Jul 13, 1990","1.87","1.87","1.87","1.87","0.38"
"Jul 12, 1990","1.86","1.86","1.86","1.86","0.87"
"Jul 11, 1990","1.85","1.85","1.85","1.85","0.87"
"Jul 10, 1990","1.83","1.83","1.83","1.83","0.11"
"Jul 09, 1990","1.83","1.83","1.83","1.83","0.05"
"Jul 06, 1990","1.83","1.83","1.83","1.83","0.27"
"Jul 05, 1990","1.82","1.82","1.82","1.82","-0.44"
"Jul 03, 1990","1.83","1.83","1.83","1.83","0.22"
"Jul 02, 1990","1.83","1.83","1.83","1.83","0.39"
"Jun 29, 1990","1.82","1.82","1.82","1.82","0.28"
"Jun 28, 1990","1.81","1.81","1.81","1.81","0.95"
"Jun 27, 1990","1.80","1.80","1.80","1.80","0.45"
"Jun 26, 1990","1.79","1.79","1.79","1.79","-0.17"
"Jun 25, 1990","1.79","1.79","1.79","1.79","-0.50"
"Jun 22, 1990","1.80","1.80","1.80","1.80","-0.33"
"Jun 21, 1990","1.81","1.81","1.81","1.81","0.28"
"Jun 20, 1990","1.80","1.80","1.80","1.80","0.06"
"Jun 19, 1990","1.80","1.80","1.80","1.80","0.11"
"Jun 18, 1990","1.80","1.80","1.80","1.80","-1.21"
"Jun 15, 1990","1.82","1.82","1.82","1.82","0.00"
"Jun 14, 1990","1.82","1.82","1.82","1.82","-0.05"
"Jun 13, 1990","1.82","1.82","1.82","1.82","0.66"
"Jun 12, 1990","1.81","1.81","1.81","1.81","0.78"
"Jun 11, 1990","1.79","1.79","1.79","1.79","0.22"
"Jun 08, 1990","1.79","1.79","1.79","1.79","-0.56"
"Jun 07, 1990","1.80","1.80","1.80","1.80","-0.11"
"Jun 06, 1990","1.80","1.80","1.80","1.80","-0.17"
"Jun 05, 1990","1.81","1.81","1.81","1.81","-0.33"
"Jun 04, 1990","1.81","1.81","1.81","1.81","0.55"
"Jun 01, 1990","1.80","1.80","1.80","1.80","0.39"
"May 31, 1990","1.79","1.79","1.79","1.79","0.17"
"May 30, 1990","1.79","1.79","1.79","1.79","0.28"
"May 29, 1990","1.79","1.79","1.79","1.79","0.85"
"May 25, 1990","1.77","1.77","1.77","1.77","-0.78"
"May 24, 1990","1.79","1.79","1.79","1.79","0.00"
"May 23, 1990","1.79","1.79","1.79","1.79","0.68"
"May 22, 1990","1.77","1.77","1.77","1.77","0.34"
"May 21, 1990","1.77","1.77","1.77","1.77","1.03"
"May 18, 1990","1.75","1.75","1.75","1.75","0.46"
"May 17, 1990","1.74","1.74","1.74","1.74","0.99"
"May 16, 1990","1.73","1.73","1.73","1.73","0.29"
"May 15, 1990","1.72","1.72","1.72","1.72","-0.23"
"May 14, 1990","1.72","1.72","1.72","1.72","0.58"
"May 11, 1990","1.71","1.71","1.71","1.71","1.00"
"May 10, 1990","1.70","1.70","1.70","1.70","0.53"
"May 09, 1990","1.69","1.69","1.69","1.69","0.30"
"May 08, 1990","1.68","1.68","1.68","1.68","0.18"
"May 07, 1990","1.68","1.68","1.68","1.68","0.42"
"May 04, 1990","1.67","1.67","1.67","1.67","0.72"
"May 03, 1990","1.66","1.66","1.66","1.66","0.48"
"May 02, 1990","1.65","1.65","1.65","1.65","0.55"
"May 01, 1990","1.64","1.64","1.64","1.64","0.24"
"Apr 30, 1990","1.64","1.64","1.64","1.64","0.31"
"Apr 27, 1990","1.63","1.63","1.63","1.63","-0.55"
"Apr 26, 1990","1.64","1.64","1.64","1.64","0.00"
"Apr 25, 1990","1.64","1.64","1.64","1.64","0.37"
"Apr 24, 1990","1.64","1.64","1.64","1.64","0.12"
"Apr 23, 1990","1.64","1.64","1.64","1.64","-0.61"
"Apr 20, 1990","1.65","1.65","1.65","1.65","-0.36"
"Apr 19, 1990","1.65","1.65","1.65","1.65","-0.60"
"Apr 18, 1990","1.66","1.66","1.66","1.66","-0.42"
"Apr 17, 1990","1.67","1.67","1.67","1.67","-0.24"
"Apr 16, 1990","1.67","1.67","1.67","1.67","0.12"
"Apr 12, 1990","1.67","1.67","1.67","1.67","0.18"
"Apr 11, 1990","1.67","1.67","1.67","1.67","0.24"
"Apr 10, 1990","1.66","1.66","1.66","1.66","0.06"
"Apr 09, 1990","1.66","1.66","1.66","1.66","-0.12"
"Apr 06, 1990","1.66","1.66","1.66","1.66","-0.36"
"Apr 05, 1990","1.67","1.67","1.67","1.67","0.30"
"Apr 04, 1990","1.67","1.67","1.67","1.67","0.06"
