"Date","Price","Open","High","Low","Change %"
"May 06, 2022","143.27","143.27","143.27","143.27","-0.56"
"May 05, 2022","144.07","144.07","144.07","144.07","-0.67"
"May 03, 2022","145.04","145.04","145.04","145.04","0.48"
"May 02, 2022","144.35","144.35","144.35","144.35","0.57"
"Apr 29, 2022","143.53","143.53","143.53","143.53","-3.62"
"Apr 28, 2022","148.92","148.92","148.92","148.92","2.48"
"Apr 27, 2022","145.32","145.32","145.32","145.32","0.21"
"Apr 26, 2022","145.01","145.01","145.01","145.01","-2.81"
"Apr 25, 2022","149.21","149.21","149.21","149.21","0.57"
"Apr 22, 2022","148.36","148.36","148.36","148.36","-2.78"
"Apr 21, 2022","152.60","152.60","152.60","152.60","-1.47"
"Apr 20, 2022","154.87","154.87","154.87","154.87","-0.06"
"Apr 19, 2022","154.96","154.96","154.96","154.96","1.61"
"Apr 18, 2022","152.51","152.51","152.51","152.51","-0.02"
"Apr 14, 2022","152.54","152.54","152.54","152.54","-1.22"
"Apr 13, 2022","154.42","154.42","154.42","154.42","1.14"
"Apr 12, 2022","152.68","152.68","152.68","152.68","-0.34"
"Apr 11, 2022","153.20","153.20","153.20","153.20","-1.69"
"Apr 08, 2022","155.83","155.83","155.83","155.83","-0.56"
"Apr 07, 2022","156.71","156.71","156.71","156.71","0.44"
"Apr 06, 2022","156.02","156.02","156.02","156.02","-0.97"
"Apr 05, 2022","157.55","157.55","157.55","157.55","-1.24"
"Apr 04, 2022","159.53","159.53","159.53","159.53","0.81"
"Apr 01, 2022","158.25","158.25","158.25","158.25","0.34"
"Mar 31, 2022","157.71","157.71","157.71","157.71","-1.56"
"Mar 30, 2022","160.21","160.21","160.21","160.21","-0.62"
"Mar 29, 2022","161.21","161.21","161.21","161.21","1.23"
"Mar 28, 2022","159.25","159.25","159.25","159.25","0.71"
"Mar 25, 2022","158.12","158.12","158.12","158.12","0.51"
"Mar 24, 2022","157.32","157.32","157.32","157.32","1.44"
"Mar 23, 2022","155.09","155.09","155.09","155.09","-1.22"
"Mar 22, 2022","157.01","157.01","157.01","157.01","1.13"
"Mar 21, 2022","155.25","155.25","155.25","155.25","-0.04"
"Mar 18, 2022","155.31","155.31","155.31","155.31","1.17"
"Mar 17, 2022","153.52","153.52","153.52","153.52","1.24"
"Mar 16, 2022","151.64","151.64","151.64","151.64","2.25"
"Mar 15, 2022","148.31","148.31","148.31","148.31","2.14"
"Mar 14, 2022","145.20","145.20","145.20","145.20","-0.72"
"Mar 11, 2022","146.26","146.26","146.26","146.26","-1.29"
"Mar 10, 2022","148.17","148.17","148.17","148.17","-0.42"
"Mar 09, 2022","148.79","148.79","148.79","148.79","2.59"
"Mar 08, 2022","145.04","145.04","145.04","145.04","-0.73"
"Mar 07, 2022","146.10","146.10","146.10","146.10","-2.95"
"Mar 04, 2022","150.54","150.54","150.54","150.54","-0.78"
"Mar 03, 2022","151.73","151.73","151.73","151.73","-0.51"
"Mar 02, 2022","152.51","152.51","152.51","152.51","1.86"
"Mar 01, 2022","149.72","149.72","149.72","149.72","-1.55"
"Feb 28, 2022","152.07","152.07","152.07","152.07","-0.23"
"Feb 25, 2022","152.42","152.42","152.42","152.42","2.25"
