"Date","Price","Open","High","Low","Change %"
"May 20, 2008","4.1920","4.1920","4.1920","4.1920","-0.50"
"May 19, 2008","4.2130","4.2130","4.2130","4.2130","0.84"
"May 16, 2008","4.1780","4.1780","4.1780","4.1780","-0.69"
"May 15, 2008","4.2070","4.2070","4.2070","4.2070","0.84"
"May 14, 2008","4.1720","4.1720","4.1720","4.1720","1.91"
"May 13, 2008","4.0940","4.0940","4.0940","4.0940","2.07"
"May 12, 2008","4.0110","4.0110","4.0110","4.0110","0.50"
"May 09, 2008","3.9910","3.9910","3.9910","3.9910","-1.87"
"May 08, 2008","4.0670","4.0670","4.0670","4.0670","-2.80"
"May 07, 2008","4.1840","4.1840","4.1840","4.1840","1.16"
"May 06, 2008","4.1360","4.1360","4.1360","4.1360","-0.60"
"May 05, 2008","4.1610","4.1610","4.1610","4.1610","-0.88"
"May 02, 2008","4.1980","4.1980","4.1980","4.1980","1.99"
"Apr 30, 2008","4.1160","4.1160","4.1160","4.1160","-0.48"
"Apr 29, 2008","4.1360","4.1360","4.1360","4.1360","-1.78"
"Apr 28, 2008","4.2110","4.2110","4.2110","4.2110","0.74"
"Apr 25, 2008","4.1800","4.1800","4.1800","4.1800","-0.43"
"Apr 24, 2008","4.1980","4.1980","4.1980","4.1980","1.16"
"Apr 23, 2008","4.1500","4.1500","4.1500","4.1500","0.22"
"Apr 22, 2008","4.1410","4.1410","4.1410","4.1410","0.80"
"Apr 21, 2008","4.1080","4.1080","4.1080","4.1080","-0.75"
"Apr 18, 2008","4.1390","4.1390","4.1390","4.1390","1.35"
"Apr 17, 2008","4.0840","4.0840","4.0840","4.0840","1.01"
"Apr 16, 2008","4.0430","4.0430","4.0430","4.0430","1.76"
"Apr 15, 2008","3.9730","3.9730","3.9730","3.9730","1.33"
"Apr 14, 2008","3.9210","3.9210","3.9210","3.9210","-1.63"
"Apr 11, 2008","3.9860","3.9860","3.9860","3.9860","0.00"
"Apr 10, 2008","3.9860","3.9860","3.9860","3.9860","-0.92"
"Apr 09, 2008","4.0230","4.0230","4.0230","4.0230","0.35"
"Apr 08, 2008","4.0090","4.0090","4.0090","4.0090","1.47"
"Apr 07, 2008","3.9510","3.9510","3.9510","3.9510","-0.85"
"Apr 04, 2008","3.9850","3.9850","3.9850","3.9850","0.15"
"Apr 03, 2008","3.9790","3.9790","3.9790","3.9790","0.48"
"Apr 02, 2008","3.9600","3.9600","3.9600","3.9600","0.00"
"Apr 01, 2008","3.9600","3.9600","3.9600","3.9600","1.51"
"Mar 31, 2008","3.9010","3.9010","3.9010","3.9010","-0.36"
"Mar 28, 2008","3.9150","3.9150","3.9150","3.9150","1.29"
"Mar 27, 2008","3.8650","3.8650","3.8650","3.8650","-0.46"
"Mar 26, 2008","3.8830","3.8830","3.8830","3.8830","3.19"
"Mar 25, 2008","3.7630","3.7630","3.7630","3.7630","1.07"
"Mar 20, 2008","3.7230","3.7230","3.7230","3.7230","-1.14"
"Mar 19, 2008","3.7660","3.7660","3.7660","3.7660","1.98"
