"Date","Price","Open","High","Low","Change %"
"Dec 23, 2010","4.707","4.707","4.707","4.707","0.71"
"Dec 22, 2010","4.674","4.674","4.674","4.674","0.26"
"Dec 21, 2010","4.662","4.662","4.662","4.662","0.67"
"Dec 20, 2010","4.631","4.631","4.631","4.631","-0.26"
"Dec 17, 2010","4.643","4.643","4.643","4.643","0.35"
"Dec 16, 2010","4.627","4.627","4.627","4.627","1.42"
"Dec 15, 2010","4.562","4.562","4.562","4.562","-1.28"
"Dec 14, 2010","4.621","4.621","4.621","4.621","0.54"
"Dec 13, 2010","4.596","4.596","4.596","4.596","0.86"
"Dec 10, 2010","4.557","4.557","4.557","4.557","0.51"
"Dec 09, 2010","4.534","4.534","4.534","4.534","-0.26"
"Dec 08, 2010","4.546","4.546","4.546","4.546","0.66"
"Dec 07, 2010","4.516","4.516","4.516","4.516","0.49"
"Dec 06, 2010","4.494","4.494","4.494","4.494","1.31"
"Dec 03, 2010","4.436","4.436","4.436","4.436","0.64"
"Dec 02, 2010","4.408","4.408","4.408","4.408","-2.35"
"Dec 01, 2010","4.514","4.514","4.514","4.514","-3.59"
"Nov 30, 2010","4.682","4.682","4.682","4.682","0.99"
"Nov 29, 2010","4.636","4.636","4.636","4.636","5.12"
"Nov 26, 2010","4.410","4.410","4.410","4.410","1.75"
"Nov 25, 2010","4.334","4.334","4.334","4.334","1.36"
"Nov 24, 2010","4.276","4.276","4.276","4.276","1.76"
"Nov 23, 2010","4.202","4.202","4.202","4.202","1.11"
"Nov 22, 2010","4.156","4.156","4.156","4.156","-1.21"
"Nov 19, 2010","4.207","4.207","4.207","4.207","-1.04"
"Nov 18, 2010","4.251","4.251","4.251","4.251","2.26"
"Nov 17, 2010","4.157","4.157","4.157","4.157","0.29"
"Nov 16, 2010","4.145","4.145","4.145","4.145","1.52"
"Nov 15, 2010","4.083","4.083","4.083","4.083","-0.37"
"Nov 12, 2010","4.098","4.098","4.098","4.098","-1.82"
"Nov 11, 2010","4.174","4.174","4.174","4.174","3.39"
"Nov 10, 2010","4.037","4.037","4.037","4.037","1.33"
"Nov 09, 2010","3.984","3.984","3.984","3.984","-0.08"
"Nov 08, 2010","3.987","3.987","3.987","3.987","1.63"
"Nov 05, 2010","3.923","3.923","3.923","3.923","0.41"
"Nov 04, 2010","3.907","3.907","3.907","3.907","0.10"
"Nov 03, 2010","3.903","3.903","3.903","3.903","-0.15"
"Nov 02, 2010","3.909","3.909","3.909","3.909","0.54"
"Nov 01, 2010","3.888","3.888","3.888","3.888","-0.21"
"Oct 29, 2010","3.896","3.896","3.896","3.896","0.10"
"Oct 28, 2010","3.892","3.892","3.892","3.892","0.00"
"Oct 27, 2010","3.892","3.892","3.892","3.892","2.83"
"Oct 26, 2010","3.785","3.785","3.785","3.785","0.45"
"Oct 25, 2010","3.768","3.768","3.768","3.768","-1.44"
"Oct 22, 2010","3.823","3.823","3.823","3.823","0.03"
"Oct 21, 2010","3.822","3.822","3.822","3.822","1.78"
"Oct 20, 2010","3.755","3.755","3.755","3.755","-0.19"
"Oct 19, 2010","3.762","3.762","3.762","3.762","1.24"
"Oct 18, 2010","3.716","3.716","3.716","3.716","-0.05"
"Oct 15, 2010","3.718","3.718","3.718","3.718","0.38"
"Oct 14, 2010","3.704","3.704","3.704","3.704","-0.59"
"Oct 13, 2010","3.726","3.726","3.726","3.726","0.78"
"Oct 12, 2010","3.697","3.697","3.697","3.697","-0.14"
"Oct 11, 2010","3.702","3.702","3.702","3.702","-0.24"
"Oct 08, 2010","3.711","3.711","3.711","3.711","-1.33"
