"Date","Price","Open","High","Low","Vol.","Change %"
"May 06, 2022","148.99","149.18","149.21","148.99","0","-0.13"
"May 05, 2022","149.19","149.32","149.44","149.18","0","-0.05"
"May 04, 2022","149.26","149.28","149.33","149.24","0","-0.02"
"May 03, 2022","149.29","149.31","149.38","149.25","0","-0.05"
"May 02, 2022","149.37","149.61","149.65","149.25","30.88K","-0.04"
"May 01, 2022","149.43","149.45","149.47","149.41","0","-0.07"
"Apr 29, 2022","149.53","149.58","149.59","149.44","0","-0.06"
"Apr 28, 2022","149.62","149.33","149.72","149.27","31.89K","0.21"
"Apr 27, 2022","149.30","149.45","149.46","149.27","0","-0.01"
"Apr 26, 2022","149.32","149.30","149.46","149.24","32.00K","-0.04"
"Apr 25, 2022","149.38","149.15","149.45","149.15","0","0.15"
"Apr 24, 2022","149.15","149.16","149.16","149.13","0","0.04"
"Apr 22, 2022","149.09","149.13","149.21","148.98","30.54K","-0.04"
"Apr 21, 2022","149.15","149.07","149.31","149.02","27.99K","0.03"
"Apr 20, 2022","149.10","149.31","149.35","148.99","35.68K","-0.13"
"Apr 19, 2022","149.30","149.33","149.44","149.29","18.04K","-0.03"
"Apr 18, 2022","149.34","149.40","149.40","149.29","10.21K","-0.05"
"Apr 15, 2022","149.41","149.42","149.62","149.32","18.64K","-0.03"
"Apr 14, 2022","149.45","149.24","149.50","149.20","26.04K","0.11"
"Apr 13, 2022","149.28","149.23","149.50","149.20","21.71K","0.03"
"Apr 12, 2022","149.23","149.29","149.35","149.19","21.65K","-0.05"
"Apr 11, 2022","149.30","149.49","149.49","149.25","17.54K","-0.13"
"Apr 08, 2022","149.49","149.50","149.57","149.28","24.04K","0.01"
"Apr 07, 2022","149.47","149.28","149.50","149.18","24.45K","0.15"
"Apr 06, 2022","149.25","149.76","149.76","149.20","27.98K","-0.34"
"Apr 05, 2022","149.76","149.73","149.92","149.73","22.34K","0.00"
"Apr 04, 2022","149.76","149.71","149.83","149.50","22.47K","0.04"
"Apr 01, 2022","149.70","149.75","150.14","149.67","35.58K","0.00"
"Mar 31, 2022","149.70","149.49","149.73","149.33","31.52K","0.11"
"Mar 30, 2022","149.54","149.00","149.88","148.82","39.99K","0.34"
"Mar 29, 2022","149.03","149.21","149.26","148.72","38.36K","-0.08"
"Mar 28, 2022","149.15","149.48","149.58","149.15","30.95K","-0.22"
"Mar 25, 2022","149.48","149.60","149.72","149.44","23.98K","-0.11"
"Mar 24, 2022","149.64","149.76","149.81","149.60","29.06K","-0.08"
"Mar 23, 2022","149.76","149.86","149.90","149.68","25.54K","-0.07"
"Mar 22, 2022","149.87","150.03","150.19","149.83","21.27K","-0.04"
"Mar 21, 2022","149.93","150.16","150.22","149.91","0","-0.15"
"Mar 20, 2022","150.16","150.18","150.18","150.16","0","0.06"
"Mar 18, 2022","150.07","150.11","150.19","149.96","17.42K","-0.03"
"Mar 17, 2022","150.11","150.05","150.14","149.91","21.74K","0.02"
"Mar 16, 2022","150.08","150.03","150.15","150.02","21.80K","0.03"
"Mar 15, 2022","150.03","150.24","150.27","149.92","27.19K","-0.25"
"Mar 14, 2022","150.41","150.55","150.57","150.41","0.80K","-0.09"
"Mar 11, 2022","150.55","150.51","150.61","150.33","6.14K","0.03"
"Mar 10, 2022","150.50","150.83","150.84","150.50","21.10K","-0.22"
"Mar 09, 2022","150.83","150.97","151.02","150.72","25.89K","-0.10"
"Mar 08, 2022","150.98","151.07","151.07","150.83","29.68K","-0.07"
"Mar 07, 2022","151.09","150.90","151.19","150.81","22.57K","0.13"
"Mar 04, 2022","150.89","150.79","151.15","150.60","39.30K","0.05"
"Mar 03, 2022","150.81","151.22","151.26","150.67","43.47K","-0.26"
"Mar 02, 2022","151.21","150.59","151.21","150.58","40.75K","0.41"
"Mar 01, 2022","150.59","150.50","150.64","150.45","34.46K","0.06"
"Feb 28, 2022","150.50","150.24","150.54","150.11","24.91K","0.18"
"Feb 25, 2022","150.23","150.44","150.52","150.20","32.48K","-0.14"
"Feb 24, 2022","150.44","150.36","150.48","150.15","34.75K","0.15"
"Feb 23, 2022","150.22","150.33","150.35","150.17","0","-0.08"
"Feb 22, 2022","150.34","150.14","150.36","150.09","26.62K","0.13"
"Feb 21, 2022","150.14","150.02","150.27","149.99","25.05K","0.07"
"Feb 18, 2022","150.03","149.90","150.08","149.84","28.86K","0.07"
"Feb 17, 2022","149.93","149.88","150.07","149.80","38.70K","0.02"
"Feb 16, 2022","149.90","150.02","150.05","149.89","24.08K","-0.10"
