"Date","Price","Open","High","Low","Vol.","Change %"
"May 06, 2022","22.95","22.70","23.54","22.13","41.82M","2.55"
"May 05, 2022","22.38","20.93","22.83","20.91","38.19M","9.92"
"May 04, 2022","20.36","21.78","22.53","20.28","32.09M","-6.78"
"May 03, 2022","21.84","21.89","22.24","21.52","27.73M","-0.32"
"May 02, 2022","21.91","22.72","23.17","21.87","45.56M","-3.35"
"Apr 29, 2022","22.67","21.33","22.74","20.89","32.15M","9.04"
"Apr 28, 2022","20.79","21.64","22.25","20.51","34.72M","-7.10"
"Apr 27, 2022","22.38","22.30","22.61","21.51","44.36M","0.18"
"Apr 26, 2022","22.34","21.02","22.34","20.99","26.59M","7.71"
"Apr 25, 2022","20.74","21.54","21.68","20.71","36.13M","-2.58"
"Apr 22, 2022","21.29","20.22","21.35","20.07","23.73M","5.24"
"Apr 21, 2022","20.23","18.98","20.34","18.68","19.56M","3.96"
"Apr 20, 2022","19.46","18.79","19.57","18.74","15.99M","3.02"
"Apr 19, 2022","18.89","19.85","19.96","18.82","8.58M","-4.31"
"Apr 18, 2022","19.74","19.92","20.10","19.49","10.79M","-0.30"
"Apr 14, 2022","19.80","18.92","19.82","18.86","9.92M","4.54"
"Apr 13, 2022","18.94","19.69","19.78","18.81","10.37M","-3.91"
"Apr 12, 2022","19.71","19.00","19.89","18.79","14.87M","0.72"
"Apr 11, 2022","19.57","19.16","19.60","19.04","14.78M","4.71"
"Apr 08, 2022","18.69","18.34","18.74","18.27","14.41M","2.92"
"Apr 07, 2022","18.16","18.37","18.74","17.94","12.81M","-0.66"
"Apr 06, 2022","18.28","18.04","18.51","17.92","17.30M","4.46"
"Apr 05, 2022","17.50","16.89","17.60","16.83","9.29M","4.35"
"Apr 04, 2022","16.77","17.40","17.42","16.75","6.79M","-3.95"
"Apr 01, 2022","17.46","17.39","17.79","17.31","9.96M","0.06"
"Mar 31, 2022","17.45","16.97","17.49","16.94","10.49M","2.65"
"Mar 30, 2022","17.00","16.79","17.13","16.65","10.22M","2.22"
"Mar 29, 2022","16.63","16.84","17.10","16.56","11.91M","-3.31"
"Mar 28, 2022","17.20","17.77","17.89","17.20","10.17M","-3.15"
"Mar 25, 2022","17.76","17.74","18.20","17.64","10.27M","0.11"
"Mar 24, 2022","17.74","18.35","18.58","17.73","9.22M","-4.37"
"Mar 23, 2022","18.55","18.34","18.56","17.97","12.16M","2.83"
"Mar 22, 2022","18.04","18.74","18.77","17.94","11.94M","-3.94"
"Mar 21, 2022","18.78","18.78","19.26","18.52","12.70M","0.64"
"Mar 18, 2022","18.66","19.67","19.81","18.64","15.50M","-4.31"
"Mar 17, 2022","19.50","20.22","20.35","19.48","17.38M","-2.30"
"Mar 16, 2022","19.96","21.03","21.53","19.95","27.83M","-7.51"
"Mar 15, 2022","21.58","22.62","22.85","21.44","19.66M","-6.13"
"Mar 14, 2022","22.99","22.33","23.11","21.85","16.16M","3.79"
"Mar 11, 2022","22.15","20.88","22.22","20.85","13.29M","4.24"
"Mar 10, 2022","21.25","21.34","21.85","21.13","15.17M","2.16"
"Mar 09, 2022","20.80","21.27","21.63","20.63","15.42M","-7.39"
"Mar 08, 2022","22.46","22.34","22.90","21.08","39.91M","0.90"
"Mar 07, 2022","22.26","20.72","22.26","20.56","24.17M","7.64"
"Mar 04, 2022","20.68","20.42","20.98","20.24","14.45M","2.73"
"Mar 03, 2022","20.13","19.25","20.33","19.24","18.80M","2.91"
"Mar 02, 2022","19.56","20.06","20.39","19.41","18.14M","-3.36"
"Mar 01, 2022","20.24","19.76","20.52","19.50","21.65M","3.32"
"Feb 28, 2022","19.59","20.14","20.26","19.44","21.39M","-0.81"
"Feb 25, 2022","19.75","20.30","20.76","19.74","24.11M","-3.09"
"Feb 24, 2022","20.38","23.28","23.32","20.33","39.17M","-6.73"
"Feb 23, 2022","21.85","20.41","21.91","20.30","20.49M","5.00"
"Feb 22, 2022","20.81","20.77","21.25","20.09","24.93M","2.06"
"Feb 18, 2022","20.39","19.82","20.67","19.78","20.89M","2.21"
"Feb 17, 2022","19.95","19.17","19.99","19.09","13.96M","6.06"
"Feb 16, 2022","18.81","19.05","19.38","18.71","14.83M","0.11"
"Feb 15, 2022","18.79","19.17","19.30","18.78","14.98M","-4.91"
"Feb 14, 2022","19.76","19.91","20.20","19.39","29.22M","-0.40"
"Feb 11, 2022","19.84","18.65","19.98","18.48","25.82M","6.32"
"Feb 10, 2022","18.66","18.55","18.84","17.87","25.65M","4.54"
"Feb 09, 2022","17.85","18.17","18.33","17.84","12.03M","-4.14"
"Feb 08, 2022","18.62","19.19","19.32","18.52","13.66M","-2.41"
"Feb 07, 2022","19.08","18.71","19.21","18.45","14.67M","1.71"
"Feb 04, 2022","18.76","19.20","19.43","18.40","17.42M","-2.65"
"Feb 03, 2022","19.27","18.79","19.37","18.45","21.53M","8.20"
"Feb 02, 2022","17.81","17.69","18.24","17.67","18.03M","-1.60"
"Feb 01, 2022","18.10","18.23","18.76","18.05","23.07M","-1.42"
"Jan 31, 2022","18.36","19.48","19.65","18.30","16.69M","-6.42"
"Jan 28, 2022","19.62","20.69","21.33","19.60","28.21M","-6.39"
"Jan 27, 2022","20.96","19.96","21.06","19.74","34.63M","2.34"
"Jan 26, 2022","20.48","19.53","20.98","19.06","39.25M","-0.10"
"Jan 25, 2022","20.50","20.29","20.84","19.81","57.36M","5.02"
"Jan 24, 2022","19.52","20.40","21.71","19.48","89.02M","-1.31"
"Jan 21, 2022","19.78","18.95","19.78","18.65","54.02M","5.72"
"Jan 20, 2022","18.71","17.90","18.77","17.49","19.85M","2.69"
"Jan 19, 2022","18.22","17.70","18.25","17.44","23.49M","2.30"
"Jan 18, 2022","17.81","17.53","17.91","17.33","22.73M","4.83"
"Jan 14, 2022","16.99","17.46","17.47","16.97","26.12M","-1.28"
"Jan 13, 2022","17.21","16.28","17.30","16.22","26.74M","5.13"
"Jan 12, 2022","16.37","16.30","16.60","16.15","16.16M","-0.79"
"Jan 11, 2022","16.50","17.11","17.30","16.50","17.28M","-3.00"
"Jan 10, 2022","17.01","17.52","18.01","16.99","19.36M","-0.35"
"Jan 07, 2022","17.07","16.70","17.22","16.55","18.21M","2.15"
"Jan 06, 2022","16.71","16.85","17.04","16.42","19.34M","0.06"
"Jan 05, 2022","16.70","15.86","16.70","15.76","16.11M","6.30"
"Jan 04, 2022","15.71","15.28","15.95","15.28","10.45M","2.61"
"Jan 03, 2022","15.31","15.53","15.69","15.30","12.13M","-2.11"
"Dec 31, 2021","15.64","15.49","15.66","15.38","8.04M","1.30"
"Dec 30, 2021","15.44","15.36","15.48","15.19","10.59M","0.65"
"Dec 29, 2021","15.34","15.32","15.53","15.23","8.66M","0.00"
"Dec 28, 2021","15.34","15.13","15.40","15.12","8.86M","0.85"
"Dec 27, 2021","15.21","15.61","15.61","15.20","7.82M","-3.24"
"Dec 23, 2021","15.72","15.92","15.94","15.60","7.14M","-1.57"
"Dec 22, 2021","15.97","16.39","16.44","15.94","10.18M","-2.32"
"Dec 21, 2021","16.35","16.82","17.17","16.33","9.97M","-4.50"
"Dec 20, 2021","17.12","17.23","17.41","17.06","24.37M","1.84"
"Dec 17, 2021","16.81","16.95","17.07","16.43","24.20M","1.08"
"Dec 16, 2021","16.63","15.74","16.77","15.71","23.28M","5.05"
"Dec 15, 2021","15.83","16.61","16.95","15.79","28.08M","-4.41"
"Dec 14, 2021","16.56","16.65","16.95","16.43","12.62M","1.85"
"Dec 13, 2021","16.26","15.78","16.28","15.77","12.16M","3.04"
"Dec 10, 2021","15.78","15.91","16.17","15.77","13.76M","-2.23"
"Dec 09, 2021","16.14","15.78","16.16","15.63","9.88M","2.93"
"Dec 08, 2021","15.68","15.81","15.95","15.66","14.46M","-0.76"
"Dec 07, 2021","15.80","16.24","16.25","15.77","12.50M","-6.18"
"Dec 06, 2021","16.84","17.08","17.46","16.72","18.27M","-1.52"
"Dec 03, 2021","17.10","16.41","17.48","16.34","43.33M","3.32"
"Dec 02, 2021","16.55","16.89","17.02","16.39","33.65M","-1.55"
"Dec 01, 2021","16.81","15.86","16.82","15.69","20.10M","3.51"
"Nov 30, 2021","16.24","15.85","16.39","15.65","19.34M","2.98"
"Nov 29, 2021","15.77","16.09","16.15","15.68","11.57M","-4.42"
"Nov 26, 2021","16.50","16.11","16.60","15.99","11.68M","3.84"
"Nov 24, 2021","15.89","16.21","16.39","15.87","8.47M","-0.63"
"Nov 23, 2021","15.99","15.96","16.36","15.78","12.03M","0.82"
