"Date","Price","Open","High","Low","Vol.","Change %"
"May 06, 2022","44.210","44.270","45.421","43.519","19.93M","1.12"
"May 05, 2022","43.720","41.670","44.540","41.670","30.48M","7.05"
"May 04, 2022","40.840","43.310","44.000","40.680","18.18M","-5.99"
"May 03, 2022","43.440","43.720","44.090","42.910","13.74M","-0.94"
"May 02, 2022","43.850","44.390","45.880","43.540","20.14M","-1.15"
"Apr 29, 2022","44.360","42.140","44.541","41.700","20.90M","7.31"
"Apr 28, 2022","41.340","42.480","43.445","40.930","17.56M","-5.03"
"Apr 27, 2022","43.530","43.500","43.970","42.320","19.77M","-0.53"
"Apr 26, 2022","43.760","41.909","43.760","41.850","18.58M","5.78"
"Apr 25, 2022","41.370","42.320","43.258","41.320","22.22M","-1.17"
"Apr 22, 2022","41.860","39.880","41.940","39.820","18.60M","5.52"
"Apr 21, 2022","39.670","37.830","39.820","37.600","13.28M","2.96"
"Apr 20, 2022","38.530","38.130","38.720","38.015","11.70M","0.26"
"Apr 19, 2022","38.430","39.760","39.780","38.315","7.63M","-3.25"
"Apr 18, 2022","39.720","39.940","40.160","39.415","10.17M","-0.10"
"Apr 14, 2022","39.760","38.780","39.789","38.550","9.10M","2.53"
"Apr 13, 2022","38.780","39.780","39.790","38.670","9.95M","-2.37"
"Apr 12, 2022","39.720","38.840","40.000","38.370","11.85M","0.74"
"Apr 11, 2022","39.430","38.705","39.500","38.550","11.73M","3.44"
"Apr 08, 2022","38.120","38.050","38.380","37.593","7.79M","0.61"
"Apr 07, 2022","37.890","38.450","38.810","37.580","10.69M","-0.99"
"Apr 06, 2022","38.270","38.240","38.800","37.890","12.55M","1.92"
"Apr 05, 2022","37.550","36.880","37.740","36.450","9.24M","2.57"
"Apr 04, 2022","36.610","37.240","37.360","36.600","6.77M","-1.72"
"Apr 01, 2022","37.250","37.190","37.880","37.170","8.78M","-0.59"
"Mar 31, 2022","37.470","36.460","37.480","36.340","8.55M","3.17"
"Mar 30, 2022","36.320","36.100","36.700","35.960","7.59M","1.17"
"Mar 29, 2022","35.900","36.150","36.610","35.820","9.30M","-2.53"
"Mar 28, 2022","36.830","37.450","37.770","36.810","8.00M","-1.37"
"Mar 25, 2022","37.340","37.630","38.060","37.300","9.25M","-1.06"
"Mar 24, 2022","37.740","38.500","38.720","37.720","7.90M","-2.88"
"Mar 23, 2022","38.860","38.380","38.880","38.093","8.67M","2.51"
"Mar 22, 2022","37.910","38.560","38.560","37.740","7.94M","-2.29"
"Mar 21, 2022","38.800","38.860","39.460","38.455","10.09M","0.00"
"Mar 18, 2022","38.800","39.970","40.110","38.740","10.99M","-2.27"
"Mar 17, 2022","39.700","41.070","41.150","39.670","11.32M","-2.39"
"Mar 16, 2022","40.670","41.820","42.860","40.670","15.37M","-4.51"
"Mar 15, 2022","42.590","43.960","44.230","42.439","11.09M","-4.38"
"Mar 14, 2022","44.540","43.740","44.790","42.971","12.17M","1.48"
