"Date","Price","Open","High","Low","Change %"
"May 06, 2022","50.85","50.85","50.85","50.85","-1.76"
"May 05, 2022","51.76","51.76","51.76","51.76","-1.82"
"May 03, 2022","52.72","52.72","52.72","52.72","0.44"
"May 02, 2022","52.49","52.49","52.49","52.49","-0.10"
"Apr 29, 2022","52.54","52.54","52.54","52.54","-1.18"
"Apr 28, 2022","53.17","53.17","53.17","53.17","1.70"
"Apr 27, 2022","52.28","52.28","52.28","52.28","0.77"
"Apr 26, 2022","51.88","51.88","51.88","51.88","-2.59"
"Apr 25, 2022","53.26","53.26","53.26","53.26","-0.52"
"Apr 22, 2022","53.54","53.54","53.54","53.54","-1.82"
"Apr 21, 2022","54.53","54.53","54.53","54.53","-1.32"
"Apr 20, 2022","55.26","55.26","55.26","55.26","0.47"
"Apr 19, 2022","55.00","55.00","55.00","55.00","0.33"
"Apr 18, 2022","54.82","54.82","54.82","54.82","-0.58"
"Apr 14, 2022","55.14","55.14","55.14","55.14","-0.79"
"Apr 13, 2022","55.58","55.58","55.58","55.58","1.31"
"Apr 12, 2022","54.86","54.86","54.86","54.86","-0.54"
"Apr 11, 2022","55.16","55.16","55.16","55.16","-1.52"
"Apr 08, 2022","56.01","56.01","56.01","56.01","-0.30"
"Apr 07, 2022","56.18","56.18","56.18","56.18","-0.11"
"Apr 06, 2022","56.24","56.24","56.24","56.24","-1.70"
"Apr 05, 2022","57.21","57.21","57.21","57.21","-1.65"
"Apr 04, 2022","58.17","58.17","58.17","58.17","1.38"
"Apr 01, 2022","57.38","57.38","57.38","57.38","1.00"
"Mar 31, 2022","56.81","56.81","56.81","56.81","-1.66"
"Mar 30, 2022","57.77","57.77","57.77","57.77","-0.48"
"Mar 29, 2022","58.05","58.05","58.05","58.05","2.45"
"Mar 28, 2022","56.66","56.66","56.66","56.66","0.35"
"Mar 25, 2022","56.46","56.46","56.46","56.46","-0.81"
"Mar 24, 2022","56.92","56.92","56.92","56.92","0.80"
"Mar 23, 2022","56.47","56.47","56.47","56.47","-1.00"
"Mar 22, 2022","57.04","57.04","57.04","57.04","1.17"
"Mar 21, 2022","56.38","56.38","56.38","56.38","-0.86"
"Mar 18, 2022","56.87","56.87","56.87","56.87","1.35"
"Mar 17, 2022","56.11","56.11","56.11","56.11","1.74"
"Mar 16, 2022","55.15","55.15","55.15","55.15","4.65"
"Mar 15, 2022","52.70","52.70","52.70","52.70","0.48"
"Mar 14, 2022","52.45","52.45","52.45","52.45","-0.42"
"Mar 11, 2022","52.67","52.67","52.67","52.67","-1.42"
"Mar 10, 2022","53.43","53.43","53.43","53.43","-1.02"
"Mar 09, 2022","53.98","53.98","53.98","53.98","4.27"
"Mar 08, 2022","51.77","51.77","51.77","51.77","0.12"
"Mar 07, 2022","51.71","51.71","51.71","51.71","-3.72"
"Mar 04, 2022","53.71","53.71","53.71","53.71","-3.36"
"Mar 03, 2022","55.58","55.58","55.58","55.58","-2.01"
"Mar 02, 2022","56.72","56.72","56.72","56.72","1.05"
"Mar 01, 2022","56.13","56.13","56.13","56.13","-2.16"
"Feb 28, 2022","57.37","57.37","57.37","57.37","-1.14"
"Feb 25, 2022","58.03","58.03","58.03","58.03","2.44"
"Feb 24, 2022","56.65","56.65","56.65","56.65","-1.29"
"Feb 23, 2022","57.39","57.39","57.39","57.39","-0.74"
"Feb 22, 2022","57.82","57.82","57.82","57.82","-1.09"
"Feb 18, 2022","58.46","58.46","58.46","58.46","-1.12"
"Feb 17, 2022","59.12","59.12","59.12","59.12","-1.88"
"Feb 16, 2022","60.25","60.25","60.25","60.25","0.03"
"Feb 15, 2022","60.23","60.23","60.23","60.23","2.26"
"Feb 14, 2022","58.90","58.90","58.90","58.90","-0.96"
"Feb 11, 2022","59.47","59.47","59.47","59.47","-1.83"
"Feb 10, 2022","60.58","60.58","60.58","60.58","-0.98"
"Feb 09, 2022","61.18","61.18","61.18","61.18","2.00"
"Feb 08, 2022","59.98","59.98","59.98","59.98","0.05"
