"Date","Price","Open","High","Low","Change %"
"Oct 23, 2013","4.135","4.205","4.212","4.135","-1.78"
"Oct 22, 2013","4.210","4.269","4.269","4.185","-1.57"
"Oct 21, 2013","4.277","4.257","4.285","4.252","0.35"
"Oct 19, 2013","4.262","4.263","4.294","4.245","-0.16"
"Oct 18, 2013","4.269","4.302","4.330","4.266","-0.72"
"Oct 17, 2013","4.300","4.291","4.319","4.281","-0.05"
"Oct 16, 2013","4.302","4.318","4.326","4.282","-0.28"
"Oct 15, 2013","4.314","4.268","4.318","4.247","1.03"
"Oct 14, 2013","4.270","4.306","4.312","4.259","-0.70"
"Oct 12, 2013","4.300","4.321","4.321","4.298","-0.12"
"Oct 11, 2013","4.305","4.346","4.350","4.298","-0.85"
"Oct 10, 2013","4.342","4.336","4.353","4.291","0.23"
"Oct 09, 2013","4.332","4.327","4.342","4.308","0.72"
"Oct 08, 2013","4.301","4.246","4.307","4.219","2.21"
"Oct 07, 2013","4.208","4.194","4.221","4.181","0.07"
"Oct 06, 2013","4.205","4.217","4.217","4.189","0.12"
"Oct 05, 2013","4.200","4.200","4.200","4.200","-0.43"
"Oct 04, 2013","4.218","4.235","4.238","4.201","-0.57"
"Oct 03, 2013","4.242","4.280","4.309","4.240","-0.09"
"Oct 02, 2013","4.246","4.155","4.265","4.155","1.34"
"Oct 01, 2013","4.190","4.302","4.305","4.181","-3.05"
"Sep 30, 2013","4.322","4.417","4.423","4.304","-1.14"
"Sep 29, 2013","4.372","4.372","4.372","4.372","0.00"
"Sep 28, 2013","4.372","4.365","4.409","4.365","0.09"
"Sep 27, 2013","4.368","4.369","4.408","4.335","0.62"
"Sep 26, 2013","4.341","4.298","4.358","4.294","1.33"
"Sep 25, 2013","4.284","4.273","4.310","4.259","0.33"
"Sep 24, 2013","4.270","4.271","4.288","4.237","-0.14"
"Sep 23, 2013","4.276","4.294","4.331","4.259","-0.86"
"Sep 22, 2013","4.313","4.313","4.313","4.313","0.00"
"Sep 21, 2013","4.313","4.319","4.348","4.303","0.19"
"Sep 20, 2013","4.305","4.318","4.362","4.295","-0.46"
"Sep 19, 2013","4.325","4.243","4.367","4.243","-1.70"
"Sep 18, 2013","4.400","4.400","4.422","4.377","-0.20"
"Sep 17, 2013","4.409","4.449","4.455","4.391","-0.47"
"Sep 16, 2013","4.430","4.490","4.496","4.425","-2.42"
"Sep 15, 2013","4.540","4.540","4.540","4.540","0.00"
"Sep 14, 2013","4.540","4.552","4.554","4.499","1.11"
"Sep 13, 2013","4.490","4.471","4.496","4.448","0.70"
"Sep 12, 2013","4.459","4.486","4.497","4.459","-0.71"
"Sep 11, 2013","4.491","4.499","4.535","4.478","-0.49"
"Sep 10, 2013","4.513","4.560","4.560","4.460","-0.59"
"Sep 09, 2013","4.540","4.540","4.544","4.506","0.13"
"Sep 08, 2013","4.534","4.534","4.534","4.534","0.00"
"Sep 07, 2013","4.534","4.530","4.547","4.528","0.13"
