"Date","Price","Open","High","Low","Change %"
"Jun 25, 2009","3.7030","3.7030","3.7030","3.7030","0.14"
"Jun 24, 2009","3.6980","3.6980","3.6980","3.6980","-1.12"
"Jun 23, 2009","3.7400","3.7400","3.7400","3.7400","0.11"
"Jun 22, 2009","3.7360","3.7360","3.7360","3.7360","-1.81"
"Jun 19, 2009","3.8050","3.8050","3.8050","3.8050","-1.42"
"Jun 18, 2009","3.8600","3.8600","3.8600","3.8600","2.52"
"Jun 17, 2009","3.7650","3.7650","3.7650","3.7650","-3.06"
"Jun 16, 2009","3.8840","3.8840","3.8840","3.8840","0.28"
"Jun 15, 2009","3.8730","3.8730","3.8730","3.8730","-2.62"
"Jun 12, 2009","3.9770","3.9770","3.9770","3.9770","-0.58"
"Jun 11, 2009","4.0000","4.0000","4.0000","4.0000","1.86"
"Jun 10, 2009","3.9270","3.9270","3.9270","3.9270","2.00"
"Jun 09, 2009","3.8500","3.8500","3.8500","3.8500","-0.47"
"Jun 08, 2009","3.8680","3.8680","3.8680","3.8680","-1.25"
"Jun 05, 2009","3.9170","3.9170","3.9170","3.9170","1.98"
"Jun 04, 2009","3.8410","3.8410","3.8410","3.8410","1.78"
"Jun 03, 2009","3.7740","3.7740","3.7740","3.7740","-2.86"
"Jun 02, 2009","3.8850","3.8850","3.8850","3.8850","1.36"
"Jun 01, 2009","3.8330","3.8330","3.8330","3.8330","2.82"
"May 29, 2009","3.7280","3.7280","3.7280","3.7280","-1.66"
"May 28, 2009","3.7910","3.7910","3.7910","3.7910","1.01"
"May 27, 2009","3.7530","3.7530","3.7530","3.7530","1.79"
"May 26, 2009","3.6870","3.6870","3.6870","3.6870","-0.99"
"May 22, 2009","3.7240","3.7240","3.7240","3.7240","2.03"
"May 21, 2009","3.6500","3.6500","3.6500","3.6500","1.93"
"May 20, 2009","3.5810","3.5810","3.5810","3.5810","2.61"
"May 19, 2009","3.4900","3.4900","3.4900","3.4900","0.17"
"May 18, 2009","3.4840","3.4840","3.4840","3.4840","-1.16"
"May 15, 2009","3.5250","3.5250","3.5250","3.5250","1.44"
"May 14, 2009","3.4750","3.4750","3.4750","3.4750","-0.66"
"May 13, 2009","3.4980","3.4980","3.4980","3.4980","-4.14"
"May 12, 2009","3.6490","3.6490","3.6490","3.6490","-0.11"
"May 11, 2009","3.6530","3.6530","3.6530","3.6530","-2.14"
"May 08, 2009","3.7330","3.7330","3.7330","3.7330","1.52"
"May 07, 2009","3.6770","3.6770","3.6770","3.6770","1.83"
"May 06, 2009","3.6110","3.6110","3.6110","3.6110","1.43"
"May 05, 2009","3.5600","3.5600","3.5600","3.5600","0.34"
"May 01, 2009","3.5480","3.5480","3.5480","3.5480","1.87"
"Apr 30, 2009","3.4830","3.4830","3.4830","3.4830","0.81"
"Apr 29, 2009","3.4550","3.4550","3.4550","3.4550","-0.03"
"Apr 28, 2009","3.4560","3.4560","3.4560","3.4560","-0.49"
"Apr 27, 2009","3.4730","3.4730","3.4730","3.4730","-0.63"
"Apr 24, 2009","3.4950","3.4950","3.4950","3.4950","-0.85"
"Apr 23, 2009","3.5250","3.5250","3.5250","3.5250","2.80"
"Apr 22, 2009","3.4290","3.4290","3.4290","3.4290","3.25"
"Apr 21, 2009","3.3210","3.3210","3.3210","3.3210","3.36"
"Apr 20, 2009","3.2130","3.2130","3.2130","3.2130","-4.23"
"Apr 17, 2009","3.3550","3.3550","3.3550","3.3550","3.42"
"Apr 16, 2009","3.2440","3.2440","3.2440","3.2440","-0.34"
"Apr 15, 2009","3.2550","3.2550","3.2550","3.2550","1.88"
"Apr 14, 2009","3.1950","3.1950","3.1950","3.1950","-2.77"
