"Date","Price","Open","High","Low","Change %"
"Sep 23, 2009","4.193","4.193","4.193","4.193","-0.02"
"Sep 22, 2009","4.194","4.194","4.194","4.194","-1.01"
"Sep 21, 2009","4.237","4.237","4.237","4.237","0.36"
"Sep 18, 2009","4.222","4.222","4.222","4.222","1.37"
"Sep 17, 2009","4.165","4.165","4.165","4.165","-2.37"
"Sep 16, 2009","4.266","4.266","4.266","4.266","0.21"
"Sep 15, 2009","4.257","4.257","4.257","4.257","0.64"
"Sep 14, 2009","4.230","4.230","4.230","4.230","1.12"
"Sep 11, 2009","4.183","4.183","4.183","4.183","-0.43"
"Sep 10, 2009","4.201","4.201","4.201","4.201","-3.00"
"Sep 09, 2009","4.331","4.331","4.331","4.331","0.30"
"Sep 08, 2009","4.318","4.318","4.318","4.318","1.01"
"Sep 04, 2009","4.275","4.275","4.275","4.275","2.76"
"Sep 03, 2009","4.160","4.160","4.160","4.160","0.90"
"Sep 02, 2009","4.123","4.123","4.123","4.123","-1.74"
"Sep 01, 2009","4.196","4.196","4.196","4.196","0.38"
"Aug 31, 2009","4.180","4.180","4.180","4.180","-0.43"
"Aug 28, 2009","4.198","4.198","4.198","4.198","-0.66"
"Aug 27, 2009","4.226","4.226","4.226","4.226","0.69"
"Aug 26, 2009","4.197","4.197","4.197","4.197","-0.62"
"Aug 25, 2009","4.223","4.223","4.223","4.223","-0.98"
"Aug 24, 2009","4.265","4.265","4.265","4.265","-2.54"
"Aug 21, 2009","4.376","4.376","4.376","4.376","3.21"
"Aug 20, 2009","4.240","4.240","4.240","4.240","-1.10"
"Aug 19, 2009","4.287","4.287","4.287","4.287","-1.58"
"Aug 18, 2009","4.356","4.356","4.356","4.356","0.69"
"Aug 17, 2009","4.326","4.326","4.326","4.326","-2.15"
"Aug 14, 2009","4.421","4.421","4.421","4.421","-0.25"
"Aug 13, 2009","4.432","4.432","4.432","4.432","-2.25"
"Aug 12, 2009","4.534","4.534","4.534","4.534","2.14"
"Aug 11, 2009","4.439","4.439","4.439","4.439","-1.84"
"Aug 10, 2009","4.522","4.522","4.522","4.522","-1.89"
"Aug 07, 2009","4.609","4.609","4.609","4.609","1.61"
"Aug 06, 2009","4.536","4.536","4.536","4.536","-0.57"
"Aug 05, 2009","4.562","4.562","4.562","4.562","2.15"
"Aug 04, 2009","4.466","4.466","4.466","4.466","1.38"
"Aug 03, 2009","4.405","4.405","4.405","4.405","2.49"
"Jul 31, 2009","4.298","4.298","4.298","4.298","-2.72"
"Jul 30, 2009","4.418","4.418","4.418","4.418","-2.06"
"Jul 29, 2009","4.511","4.511","4.511","4.511","-0.86"
"Jul 28, 2009","4.550","4.550","4.550","4.550","-1.66"
"Jul 27, 2009","4.627","4.627","4.627","4.627","1.85"
"Jul 24, 2009","4.543","4.543","4.543","4.543","-0.15"
"Jul 23, 2009","4.550","4.550","4.550","4.550","2.39"
"Jul 22, 2009","4.444","4.444","4.444","4.444","1.28"
"Jul 21, 2009","4.388","4.388","4.388","4.388","-2.83"
"Jul 20, 2009","4.516","4.516","4.516","4.516","-0.59"
"Jul 17, 2009","4.543","4.543","4.543","4.543","2.11"
"Jul 16, 2009","4.449","4.449","4.449","4.449","-1.02"
"Jul 15, 2009","4.495","4.495","4.495","4.495","2.72"
"Jul 14, 2009","4.376","4.376","4.376","4.376","3.21"
"Jul 13, 2009","4.240","4.240","4.240","4.240","1.10"
"Jul 10, 2009","4.194","4.194","4.194","4.194","-2.51"
"Jul 09, 2009","4.302","4.302","4.302","4.302","2.80"
