"Date","Price","Open","High","Low","Vol.","Change %"
"May 06, 2022","27.68","29.27","29.33","27.34","10.39M","-8.04"
"May 05, 2022","30.10","28.69","30.23","27.87","9.49M","3.76"
"May 04, 2022","29.01","28.79","29.09","28.37","6.98M","8.29"
"May 03, 2022","26.79","27.31","28.05","26.75","8.09M","3.04"
"May 02, 2022","26.00","25.41","26.07","25.29","4.90M","4.00"
"Apr 29, 2022","25.00","24.37","25.18","24.09","6.61M","4.82"
"Apr 28, 2022","23.85","24.57","24.67","23.64","7.34M","-5.32"
"Apr 27, 2022","25.19","24.54","25.81","24.34","11.55M","5.75"
"Apr 26, 2022","23.82","24.13","24.54","23.33","12.95M","-1.65"
"Apr 25, 2022","24.22","22.73","24.42","22.70","10.18M","6.70"
"Apr 22, 2022","22.70","23.88","24.15","22.55","8.55M","-6.20"
"Apr 21, 2022","24.20","24.68","24.87","23.47","9.83M","0.83"
"Apr 20, 2022","24.00","24.79","24.90","23.68","10.78M","-3.96"
"Apr 19, 2022","24.99","25.08","25.30","24.22","15.81M","-7.89"
"Apr 18, 2022","27.13","26.39","28.15","26.39","20.06M","5.98"
"Apr 14, 2022","25.60","24.48","25.64","24.27","13.43M","3.98"
"Apr 13, 2022","24.62","23.70","24.74","23.66","11.93M","5.21"
"Apr 12, 2022","23.40","23.43","24.23","23.04","13.04M","0.43"
"Apr 11, 2022","23.30","22.96","23.34","22.68","8.37M","5.48"
"Apr 08, 2022","22.09","22.44","22.54","21.83","8.53M","-1.25"
"Apr 07, 2022","22.37","21.25","22.47","20.94","16.56M","5.37"
"Apr 06, 2022","21.23","21.85","22.19","20.94","15.79M","0.81"
"Apr 05, 2022","21.06","20.75","21.63","20.74","11.00M","5.04"
"Apr 04, 2022","20.05","20.09","20.43","19.82","5.92M","0.65"
"Apr 01, 2022","19.92","19.70","20.17","19.55","5.63M","1.01"
"Mar 31, 2022","19.72","19.67","20.35","19.61","10.00M","1.75"
"Mar 30, 2022","19.38","18.99","19.62","18.96","6.62M","4.19"
"Mar 29, 2022","18.60","19.15","19.17","18.57","5.91M","-3.23"
"Mar 28, 2022","19.22","19.19","19.55","19.16","5.06M","-1.39"
"Mar 25, 2022","19.49","19.54","19.61","19.11","7.89M","2.74"
"Mar 24, 2022","18.97","18.22","19.22","17.85","7.88M","5.21"
"Mar 23, 2022","18.03","18.49","18.63","17.95","5.12M","-0.33"
"Mar 22, 2022","18.09","17.98","18.30","17.70","5.12M","3.73"
"Mar 21, 2022","17.44","16.83","17.48","16.72","3.10M","1.28"
"Mar 18, 2022","17.22","17.36","17.36","17.02","4.32M","-0.86"
"Mar 17, 2022","17.37","17.10","17.56","17.07","4.92M","4.07"
"Mar 16, 2022","16.69","16.59","16.79","16.32","4.17M","2.96"
"Mar 15, 2022","16.21","15.81","16.30","15.69","3.48M","-1.58"
"Mar 14, 2022","16.47","16.47","16.54","16.06","4.48M","-1.91"
"Mar 11, 2022","16.79","16.68","16.89","16.46","4.05M","2.88"
"Mar 10, 2022","16.32","16.10","16.45","16.02","3.91M","2.58"
"Mar 09, 2022","15.91","16.01","16.15","15.82","8.27M","-1.00"
"Mar 08, 2022","16.07","16.09","16.55","15.88","11.50M","-5.19"
"Mar 07, 2022","16.95","17.47","17.55","16.83","8.08M","-2.25"
"Mar 04, 2022","17.34","17.01","17.76","16.99","9.71M","4.21"
"Mar 03, 2022","16.64","16.48","16.99","16.29","8.93M","-2.23"
"Mar 02, 2022","17.02","16.83","17.29","16.38","9.01M","5.65"
"Mar 01, 2022","16.11","15.71","16.30","15.66","7.25M","4.20"
"Feb 28, 2022","15.46","15.75","15.85","15.38","6.27M","-2.28"
"Feb 25, 2022","15.82","15.95","16.03","15.55","7.36M","-2.89"
