"Date","Price","Open","High","Low","Change %"
"May 06, 2022","201.88","201.88","201.88","201.88","-0.56"
"May 05, 2022","203.01","203.01","203.01","203.01","-0.67"
"May 03, 2022","204.38","204.38","204.38","204.38","0.48"
"May 02, 2022","203.40","203.40","203.40","203.40","0.57"
"Apr 29, 2022","202.25","202.25","202.25","202.25","-1.23"
"Apr 27, 2022","204.77","204.77","204.77","204.77","0.21"
"Apr 26, 2022","204.34","204.34","204.34","204.34","-2.82"
"Apr 25, 2022","210.26","210.26","210.26","210.26","0.57"
"Apr 22, 2022","209.06","209.06","209.06","209.06","-2.77"
"Apr 21, 2022","215.02","215.02","215.02","215.02","-1.47"
"Apr 20, 2022","218.23","218.23","218.23","218.23","-0.06"
"Apr 19, 2022","218.36","218.36","218.36","218.36","1.61"
"Apr 18, 2022","214.90","214.90","214.90","214.90","-0.02"
"Apr 14, 2022","214.95","214.95","214.95","214.95","-1.21"
"Apr 13, 2022","217.59","217.59","217.59","217.59","1.13"
"Apr 12, 2022","215.15","215.15","215.15","215.15","-0.34"
"Apr 11, 2022","215.88","215.88","215.88","215.88","-1.69"
"Apr 08, 2022","219.58","219.58","219.58","219.58","-0.26"
"Apr 07, 2022","220.16","220.16","220.16","220.16","0.44"
"Apr 06, 2022","219.20","219.20","219.20","219.20","-0.97"
"Apr 05, 2022","221.35","221.35","221.35","221.35","-1.24"
"Apr 04, 2022","224.13","224.13","224.13","224.13","0.81"
"Apr 01, 2022","222.33","222.33","222.33","222.33","0.34"
"Mar 31, 2022","221.57","221.57","221.57","221.57","-1.56"
"Mar 30, 2022","225.08","225.08","225.08","225.08","-0.62"
"Mar 29, 2022","226.48","226.48","226.48","226.48","1.22"
"Mar 28, 2022","223.74","223.74","223.74","223.74","0.72"
"Mar 25, 2022","222.15","222.15","222.15","222.15","0.51"
"Mar 24, 2022","221.03","221.03","221.03","221.03","1.44"
"Mar 23, 2022","217.89","217.89","217.89","217.89","-1.56"
"Mar 22, 2022","221.34","221.34","221.34","221.34","1.13"
"Mar 21, 2022","218.86","218.86","218.86","218.86","-0.04"
"Mar 18, 2022","218.95","218.95","218.95","218.95","1.17"
"Mar 17, 2022","216.42","216.42","216.42","216.42","1.24"
"Mar 16, 2022","213.77","213.77","213.77","213.77","2.24"
"Mar 15, 2022","209.08","209.08","209.08","209.08","2.14"
"Mar 14, 2022","204.70","204.70","204.70","204.70","-0.72"
"Mar 11, 2022","206.18","206.18","206.18","206.18","-1.29"
"Mar 10, 2022","208.88","208.88","208.88","208.88","-0.42"
"Mar 09, 2022","209.76","209.76","209.76","209.76","2.58"
"Mar 08, 2022","204.48","204.48","204.48","204.48","-0.72"
"Mar 07, 2022","205.96","205.96","205.96","205.96","-2.95"
"Mar 04, 2022","212.22","212.22","212.22","212.22","-0.79"
