"Date","Price","Open","High","Low","Change %"
"May 06, 2022","17.52","17.52","17.52","17.52","-1.30"
"May 05, 2022","17.75","17.75","17.75","17.75","-2.85"
"May 04, 2022","18.27","18.27","18.27","18.27","2.01"
"May 02, 2022","17.91","17.91","17.91","17.91","-0.33"
"Apr 29, 2022","17.97","17.97","17.97","17.97","-0.61"
"Apr 28, 2022","18.08","18.08","18.08","18.08","1.86"
"Apr 26, 2022","17.75","17.75","17.75","17.75","-2.26"
"Apr 25, 2022","18.16","18.16","18.16","18.16","-0.87"
"Apr 22, 2022","18.32","18.32","18.32","18.32","-1.56"
"Apr 21, 2022","18.61","18.61","18.61","18.61","-1.22"
"Apr 20, 2022","18.84","18.84","18.84","18.84","0.48"
"Apr 19, 2022","18.75","18.75","18.75","18.75","0.21"
"Apr 18, 2022","18.71","18.71","18.71","18.71","-0.64"
"Apr 14, 2022","18.83","18.83","18.83","18.83","-0.48"
"Apr 13, 2022","18.92","18.92","18.92","18.92","1.18"
"Apr 12, 2022","18.70","18.70","18.70","18.70","-0.64"
"Apr 11, 2022","18.82","18.82","18.82","18.82","-1.10"
"Apr 08, 2022","19.03","19.03","19.03","19.03","0.16"
"Apr 07, 2022","19.00","19.00","19.00","19.00","-0.31"
"Apr 06, 2022","19.06","19.06","19.06","19.06","-1.14"
"Apr 05, 2022","19.28","19.28","19.28","19.28","-1.18"
"Apr 04, 2022","19.51","19.51","19.51","19.51","0.77"
"Apr 01, 2022","19.36","19.36","19.36","19.36","0.99"
"Mar 31, 2022","19.17","19.17","19.17","19.17","-1.54"
"Mar 30, 2022","19.47","19.47","19.47","19.47","-0.10"
"Mar 29, 2022","19.49","19.49","19.49","19.49","1.72"
"Mar 28, 2022","19.16","19.16","19.16","19.16","-0.16"
"Mar 25, 2022","19.19","19.19","19.19","19.19","-0.16"
"Mar 24, 2022","19.22","19.22","19.22","19.22","0.52"
"Mar 23, 2022","19.12","19.12","19.12","19.12","-0.83"
"Mar 22, 2022","19.28","19.28","19.28","19.28","1.10"
"Mar 21, 2022","19.07","19.07","19.07","19.07","-0.83"
"Mar 18, 2022","19.23","19.23","19.23","19.23","0.94"
"Mar 17, 2022","19.05","19.05","19.05","19.05","1.01"
"Mar 16, 2022","18.86","18.86","18.86","18.86","4.08"
"Mar 15, 2022","18.12","18.12","18.12","18.12","0.39"
"Mar 14, 2022","18.05","18.05","18.05","18.05","-0.28"
"Mar 11, 2022","18.10","18.10","18.10","18.10","-1.15"
"Mar 10, 2022","18.31","18.31","18.31","18.31","-0.81"
"Mar 09, 2022","18.46","18.46","18.46","18.46","3.48"
"Mar 08, 2022","17.84","17.84","17.84","17.84","-0.06"
"Mar 07, 2022","17.85","17.85","17.85","17.85","-2.88"
"Mar 04, 2022","18.38","18.38","18.38","18.38","-2.39"
"Mar 03, 2022","18.83","18.83","18.83","18.83","-1.47"
"Mar 02, 2022","19.11","19.11","19.11","19.11","0.84"
"Mar 01, 2022","18.95","18.95","18.95","18.95","-1.71"
"Feb 28, 2022","19.28","19.28","19.28","19.28","-1.08"
"Feb 25, 2022","19.49","19.49","19.49","19.49","2.15"
"Feb 24, 2022","19.08","19.08","19.08","19.08","-1.55"
"Feb 23, 2022","19.38","19.38","19.38","19.38","-0.82"
"Feb 22, 2022","19.54","19.54","19.54","19.54","-1.21"
"Feb 18, 2022","19.78","19.78","19.78","19.78","-0.65"
"Feb 17, 2022","19.91","19.91","19.91","19.91","-1.24"
"Feb 16, 2022","20.16","20.16","20.16","20.16","0.40"
"Feb 15, 2022","20.08","20.08","20.08","20.08","1.67"
"Feb 14, 2022","19.75","19.75","19.75","19.75","-0.70"
"Feb 11, 2022","19.89","19.89","19.89","19.89","-1.14"
"Feb 10, 2022","20.12","20.12","20.12","20.12","-1.03"
"Feb 09, 2022","20.33","20.33","20.33","20.33","1.50"
"Feb 08, 2022","20.03","20.03","20.03","20.03","0.55"
"Feb 07, 2022","19.92","19.92","19.92","19.92","0.05"
"Feb 04, 2022","19.91","19.91","19.91","19.91","0.30"
"Feb 03, 2022","19.85","19.85","19.85","19.85","-1.39"
"Feb 02, 2022","20.13","20.13","20.13","20.13","0.55"
"Feb 01, 2022","20.02","20.02","20.02","20.02","0.75"
"Jan 31, 2022","19.87","19.87","19.87","19.87","1.95"
"Jan 28, 2022","19.49","19.49","19.49","19.49","0.46"
"Jan 27, 2022","19.40","19.40","19.40","19.40","-0.87"
"Jan 26, 2022","19.57","19.57","19.57","19.57","-0.46"
"Jan 25, 2022","19.66","19.66","19.66","19.66","-0.46"
"Jan 24, 2022","19.75","19.75","19.75","19.75","-1.10"
"Jan 21, 2022","19.97","19.97","19.97","19.97","-1.29"
"Jan 20, 2022","20.23","20.23","20.23","20.23","-0.25"
"Jan 19, 2022","20.28","20.28","20.28","20.28","-0.05"
"Jan 18, 2022","20.29","20.29","20.29","20.29","-1.50"
"Jan 14, 2022","20.60","20.60","20.60","20.60","-0.05"
"Jan 13, 2022","20.61","20.61","20.61","20.61","-0.77"
"Jan 12, 2022","20.77","20.77","20.77","20.77","1.07"
"Jan 11, 2022","20.55","20.55","20.55","20.55","1.38"
"Jan 10, 2022","20.27","20.27","20.27","20.27","-0.59"
"Jan 07, 2022","20.39","20.39","20.39","20.39","0.39"
"Jan 06, 2022","20.31","20.31","20.31","20.31","-0.20"
"Jan 05, 2022","20.35","20.35","20.35","20.35","-1.07"
"Jan 04, 2022","20.57","20.57","20.57","20.57","0.34"
"Jan 03, 2022","20.50","20.50","20.50","20.50","0.24"
"Dec 31, 2021","20.45","20.45","20.45","20.45","0.15"
"Dec 30, 2021","20.42","20.42","20.42","20.42","0.10"
"Dec 29, 2021","20.40","20.40","20.40","20.40","-0.05"
"Dec 28, 2021","20.41","20.41","20.41","20.41","0.05"
"Dec 27, 2021","20.40","20.40","20.40","20.40","0.54"
"Dec 23, 2021","20.29","20.29","20.29","20.29","0.64"
"Dec 22, 2021","20.16","20.16","20.16","20.16","0.75"
"Dec 21, 2021","20.01","20.01","20.01","20.01","1.47"
"Dec 20, 2021","19.72","19.72","19.72","19.72","-0.85"
"Dec 17, 2021","19.89","19.89","19.89","19.89","-2.36"
"Dec 16, 2021","20.37","20.37","20.37","20.37","0.05"
"Dec 15, 2021","20.36","20.36","20.36","20.36","0.89"
"Dec 14, 2021","20.18","20.18","20.18","20.18","-0.44"
"Dec 13, 2021","20.27","20.27","20.27","20.27","-1.27"
"Dec 10, 2021","20.53","20.53","20.53","20.53","0.10"
"Dec 09, 2021","20.51","20.51","20.51","20.51","-0.63"
"Dec 08, 2021","20.64","20.64","20.64","20.64","0.29"
"Dec 07, 2021","20.58","20.58","20.58","20.58","1.93"
"Dec 06, 2021","20.19","20.19","20.19","20.19","0.85"
"Dec 03, 2021","20.02","20.02","20.02","20.02","-0.74"
"Dec 02, 2021","20.17","20.17","20.17","20.17","1.20"
"Dec 01, 2021","19.93","19.93","19.93","19.93","-0.05"
"Nov 30, 2021","19.94","19.94","19.94","19.94","-1.09"
"Nov 29, 2021","20.16","20.16","20.16","20.16","0.20"
"Nov 26, 2021","20.12","20.12","20.12","20.12","-2.47"
"Nov 24, 2021","20.63","20.63","20.63","20.63","-0.34"
"Nov 23, 2021","20.70","20.70","20.70","20.70","-0.10"
"Nov 22, 2021","20.72","20.72","20.72","20.72","-0.77"
"Nov 19, 2021","20.88","20.88","20.88","20.88","-0.62"
"Nov 18, 2021","21.01","21.01","21.01","21.01","-0.19"
"Nov 17, 2021","21.05","21.05","21.05","21.05","-0.38"
"Nov 16, 2021","21.13","21.13","21.13","21.13","-0.09"
"Nov 15, 2021","21.15","21.15","21.15","21.15","-0.19"
"Nov 12, 2021","21.19","21.19","21.19","21.19","0.62"
"Nov 11, 2021","21.06","21.06","21.06","21.06","0.53"
"Nov 10, 2021","20.95","20.95","20.95","20.95","-0.95"
"Nov 09, 2021","21.15","21.15","21.15","21.15","-0.19"
"Nov 08, 2021","21.19","21.19","21.19","21.19","0.38"
"Nov 05, 2021","21.11","21.11","21.11","21.11","0.05"
"Nov 04, 2021","21.10","21.10","21.10","21.10","-0.09"
