"Date","Price","Open","High","Low","Change %"
"May 06, 2022","349.66","349.66","349.66","349.66","-0.55"
"May 05, 2022","351.60","351.60","351.60","351.60","-0.67"
"May 03, 2022","353.98","353.98","353.98","353.98","0.48"
"May 02, 2022","352.28","352.28","352.28","352.28","0.57"
"Apr 29, 2022","350.29","350.29","350.29","350.29","-3.62"
"Apr 28, 2022","363.45","363.45","363.45","363.45","2.48"
"Apr 27, 2022","354.65","354.65","354.65","354.65","0.21"
"Apr 26, 2022","353.91","353.91","353.91","353.91","-2.81"
"Apr 25, 2022","364.15","364.15","364.15","364.15","0.57"
"Apr 22, 2022","362.09","362.09","362.09","362.09","-2.77"
"Apr 21, 2022","372.41","372.41","372.41","372.41","-1.47"
"Apr 20, 2022","377.96","377.96","377.96","377.96","-0.06"
"Apr 19, 2022","378.19","378.19","378.19","378.19","1.61"
"Apr 18, 2022","372.20","372.20","372.20","372.20","-0.02"
"Apr 14, 2022","372.28","372.28","372.28","372.28","-1.22"
"Apr 13, 2022","376.86","376.86","376.86","376.86","1.14"
"Apr 12, 2022","372.63","372.63","372.63","372.63","-0.34"
"Apr 11, 2022","373.89","373.89","373.89","373.89","-1.69"
"Apr 08, 2022","380.31","380.31","380.31","380.31","-0.26"
"Apr 07, 2022","381.31","381.31","381.31","381.31","0.44"
"Apr 06, 2022","379.65","379.65","379.65","379.65","-0.97"
"Apr 05, 2022","383.38","383.38","383.38","383.38","-1.24"
"Apr 04, 2022","388.19","388.19","388.19","388.19","0.81"
"Apr 01, 2022","385.07","385.07","385.07","385.07","0.34"
"Mar 31, 2022","383.76","383.76","383.76","383.76","-1.56"
"Mar 30, 2022","389.84","389.84","389.84","389.84","-0.62"
"Mar 29, 2022","392.26","392.26","392.26","392.26","1.23"
"Mar 28, 2022","387.51","387.51","387.51","387.51","0.71"
"Mar 25, 2022","384.77","384.77","384.77","384.77","0.51"
"Mar 24, 2022","382.82","382.82","382.82","382.82","1.44"
"Mar 23, 2022","377.38","377.38","377.38","377.38","-1.22"
"Mar 22, 2022","382.05","382.05","382.05","382.05","0.26"
"Mar 21, 2022","381.07","381.07","381.07","381.07","-0.04"
"Mar 18, 2022","381.22","381.22","381.22","381.22","1.17"
"Mar 17, 2022","376.82","376.82","376.82","376.82","1.24"
"Mar 16, 2022","372.20","372.20","372.20","372.20","2.24"
"Mar 15, 2022","364.04","364.04","364.04","364.04","2.14"
"Mar 14, 2022","356.41","356.41","356.41","356.41","-0.72"
"Mar 11, 2022","358.99","358.99","358.99","358.99","-1.29"
"Mar 10, 2022","363.69","363.69","363.69","363.69","-0.42"
"Mar 09, 2022","365.22","365.22","365.22","365.22","2.58"
"Mar 08, 2022","356.02","356.02","356.02","356.02","-0.72"
"Mar 07, 2022","358.60","358.60","358.60","358.60","-2.95"
"Mar 04, 2022","369.51","369.51","369.51","369.51","-0.79"
"Mar 03, 2022","372.44","372.44","372.44","372.44","-0.51"
"Mar 02, 2022","374.36","374.36","374.36","374.36","1.87"
"Mar 01, 2022","367.48","367.48","367.48","367.48","-1.54"
"Feb 28, 2022","373.24","373.24","373.24","373.24","-0.24"
"Feb 25, 2022","374.12","374.12","374.12","374.12","2.25"
"Feb 24, 2022","365.89","365.89","365.89","365.89","1.50"
"Feb 23, 2022","360.47","360.47","360.47","360.47","-1.84"
"Feb 22, 2022","367.23","367.23","367.23","367.23","-1.01"
"Feb 18, 2022","370.99","370.99","370.99","370.99","-0.70"
"Feb 17, 2022","373.61","373.61","373.61","373.61","-2.11"
"Feb 16, 2022","381.67","381.67","381.67","381.67","0.10"
"Feb 15, 2022","381.28","381.28","381.28","381.28","1.59"
