"Date","Price","Open","High","Low","Change %"
"May 06, 2022","100.23","100.23","100.23","100.23","-0.81"
"May 05, 2022","101.05","101.05","101.05","101.05","-0.43"
"May 02, 2022","101.49","101.49","101.49","101.49","0.66"
"Apr 29, 2022","100.82","100.82","100.82","100.82","-3.54"
"Apr 28, 2022","104.52","104.52","104.52","104.52","2.41"
"Apr 27, 2022","102.06","102.06","102.06","102.06","0.14"
"Apr 26, 2022","101.92","101.92","101.92","101.92","-2.90"
"Apr 25, 2022","104.96","104.96","104.96","104.96","0.65"
"Apr 22, 2022","104.28","104.28","104.28","104.28","-2.72"
"Apr 21, 2022","107.20","107.20","107.20","107.20","-1.66"
"Apr 20, 2022","109.01","109.01","109.01","109.01","-0.11"
"Apr 19, 2022","109.13","109.13","109.13","109.13","1.75"
"Apr 18, 2022","107.25","107.25","107.25","107.25","-0.19"
"Apr 14, 2022","107.45","107.45","107.45","107.45","-1.22"
"Apr 13, 2022","108.78","108.78","108.78","108.78","1.31"
"Apr 12, 2022","107.37","107.37","107.37","107.37","-0.30"
"Apr 11, 2022","107.69","107.69","107.69","107.69","-1.53"
"Apr 08, 2022","109.36","109.36","109.36","109.36","-0.33"
"Apr 07, 2022","109.72","109.72","109.72","109.72","0.33"
"Apr 06, 2022","109.36","109.36","109.36","109.36","-1.10"
"Apr 05, 2022","110.58","110.58","110.58","110.58","-1.44"
"Apr 04, 2022","112.19","112.19","112.19","112.19","0.81"
"Apr 01, 2022","111.29","111.29","111.29","111.29","0.43"
"Mar 31, 2022","110.81","110.81","110.81","110.81","-1.53"
"Mar 30, 2022","112.53","112.53","112.53","112.53","-0.79"
"Mar 29, 2022","113.43","113.43","113.43","113.43","1.48"
"Mar 28, 2022","111.78","111.78","111.78","111.78","0.69"
"Mar 25, 2022","111.01","111.01","111.01","111.01","0.38"
"Mar 24, 2022","110.59","110.59","110.59","110.59","1.40"
"Mar 23, 2022","109.06","109.06","109.06","109.06","-1.27"
"Mar 22, 2022","110.46","110.46","110.46","110.46","0.88"
"Mar 21, 2022","109.50","109.50","109.50","109.50","-0.17"
"Mar 18, 2022","109.69","109.69","109.69","109.69","1.26"
"Mar 17, 2022","108.33","108.33","108.33","108.33","1.36"
"Mar 16, 2022","106.88","106.88","106.88","106.88","2.47"
"Mar 15, 2022","104.30","104.30","104.30","104.30","2.07"
"Mar 14, 2022","102.18","102.18","102.18","102.18","-0.95"
"Mar 11, 2022","103.16","103.16","103.16","103.16","-1.40"
"Mar 10, 2022","104.63","104.63","104.63","104.63","-0.43"
"Mar 09, 2022","105.08","105.08","105.08","105.08","2.71"
"Mar 08, 2022","102.31","102.31","102.31","102.31","-0.54"
"Mar 07, 2022","102.87","102.87","102.87","102.87","-3.06"
"Mar 04, 2022","106.12","106.12","106.12","106.12","-0.99"
"Mar 03, 2022","107.18","107.18","107.18","107.18","-0.76"
"Mar 02, 2022","108.00","108.00","108.00","108.00","1.91"
"Mar 01, 2022","105.98","105.98","105.98","105.98","-1.57"
"Feb 28, 2022","107.67","107.67","107.67","107.67","-0.11"
"Feb 25, 2022","107.79","107.79","107.79","107.79","2.27"
"Feb 24, 2022","105.40","105.40","105.40","105.40","1.74"
"Feb 23, 2022","103.60","103.60","103.60","103.60","-1.89"
"Feb 22, 2022","105.60","105.60","105.60","105.60","-1.10"
"Feb 18, 2022","106.77","106.77","106.77","106.77","-0.79"
"Feb 17, 2022","107.62","107.62","107.62","107.62","-2.23"
"Feb 16, 2022","110.08","110.08","110.08","110.08","0.04"
"Feb 15, 2022","110.04","110.04","110.04","110.04","1.78"
"Feb 14, 2022","108.12","108.12","108.12","108.12","-0.40"
"Feb 11, 2022","108.55","108.55","108.55","108.55","-1.87"
"Feb 10, 2022","110.62","110.62","110.62","110.62","-1.73"
"Feb 09, 2022","112.57","112.57","112.57","112.57","1.62"
"Feb 08, 2022","110.78","110.78","110.78","110.78","0.93"
"Feb 07, 2022","109.76","109.76","109.76","109.76","-0.25"
"Feb 04, 2022","110.04","110.04","110.04","110.04","0.69"
"Feb 03, 2022","109.29","109.29","109.29","109.29","-2.46"
"Feb 02, 2022","112.05","112.05","112.05","112.05","0.62"
"Feb 01, 2022","111.36","111.36","111.36","111.36","0.79"
"Jan 31, 2022","110.49","110.49","110.49","110.49","2.17"
"Jan 28, 2022","108.14","108.14","108.14","108.14","2.45"
"Jan 27, 2022","105.55","105.55","105.55","105.55","-0.71"
"Jan 26, 2022","106.31","106.31","106.31","106.31","-0.34"
"Jan 25, 2022","106.67","106.67","106.67","106.67","-1.35"
"Jan 24, 2022","108.13","108.13","108.13","108.13","0.51"
"Jan 21, 2022","107.58","107.58","107.58","107.58","-1.97"
"Jan 20, 2022","109.74","109.74","109.74","109.74","-1.14"
"Jan 19, 2022","111.01","111.01","111.01","111.01","-1.01"
"Jan 18, 2022","112.14","112.14","112.14","112.14","-1.98"
"Jan 14, 2022","114.41","114.41","114.41","114.41","0.04"
"Jan 13, 2022","114.36","114.36","114.36","114.36","-1.46"
"Jan 12, 2022","116.06","116.06","116.06","116.06","0.15"
"Jan 11, 2022","115.89","115.89","115.89","115.89","1.01"
"Jan 10, 2022","114.73","114.73","114.73","114.73","-0.16"
"Jan 07, 2022","114.91","114.91","114.91","114.91","-0.48"
"Jan 06, 2022","115.46","115.46","115.46","115.46","-0.02"
"Jan 05, 2022","115.48","115.48","115.48","115.48","-2.19"
"Jan 04, 2022","118.07","118.07","118.07","118.07","-0.17"
"Jan 03, 2022","118.27","118.27","118.27","118.27","0.59"
"Dec 31, 2021","117.58","117.58","117.58","117.58","-0.27"
"Dec 30, 2021","117.90","117.90","117.90","117.90","-0.19"
"Dec 29, 2021","118.12","118.12","118.12","118.12","0.12"
"Dec 28, 2021","117.98","117.98","117.98","117.98","-0.21"
"Dec 27, 2021","118.23","118.23","118.23","118.23","1.29"
