"Date","Price","Open","High","Low","Change %"
"May 06, 2022","187.97","187.97","187.97","187.97","-0.81"
"May 05, 2022","189.51","189.51","189.51","189.51","-0.88"
"May 03, 2022","191.20","191.20","191.20","191.20","0.46"
"May 02, 2022","190.32","190.32","190.32","190.32","0.66"
"Apr 29, 2022","189.08","189.08","189.08","189.08","-1.21"
"Apr 27, 2022","191.39","191.39","191.39","191.39","0.14"
"Apr 26, 2022","191.13","191.13","191.13","191.13","-2.90"
"Apr 25, 2022","196.84","196.84","196.84","196.84","0.65"
"Apr 22, 2022","195.56","195.56","195.56","195.56","-2.73"
"Apr 21, 2022","201.05","201.05","201.05","201.05","-1.65"
"Apr 20, 2022","204.43","204.43","204.43","204.43","-0.11"
"Apr 19, 2022","204.65","204.65","204.65","204.65","1.75"
"Apr 18, 2022","201.14","201.14","201.14","201.14","-0.18"
"Apr 14, 2022","201.51","201.51","201.51","201.51","-1.22"
"Apr 13, 2022","203.99","203.99","203.99","203.99","1.31"
"Apr 12, 2022","201.36","201.36","201.36","201.36","-0.30"
"Apr 11, 2022","201.96","201.96","201.96","201.96","-1.52"
"Apr 08, 2022","205.08","205.08","205.08","205.08","-0.33"
"Apr 07, 2022","205.76","205.76","205.76","205.76","0.33"
"Apr 06, 2022","205.09","205.09","205.09","205.09","-1.10"
"Apr 05, 2022","207.38","207.38","207.38","207.38","-1.44"
"Apr 04, 2022","210.40","210.40","210.40","210.40","0.81"
"Apr 01, 2022","208.71","208.71","208.71","208.71","0.43"
"Mar 31, 2022","207.81","207.81","207.81","207.81","-1.52"
"Mar 30, 2022","211.02","211.02","211.02","211.02","-0.80"
"Mar 29, 2022","212.72","212.72","212.72","212.72","1.48"
"Mar 28, 2022","209.62","209.62","209.62","209.62","0.70"
"Mar 25, 2022","208.17","208.17","208.17","208.17","0.38"
"Mar 24, 2022","207.39","207.39","207.39","207.39","1.40"
"Mar 23, 2022","204.52","204.52","204.52","204.52","-1.27"
"Mar 22, 2022","207.15","207.15","207.15","207.15","0.88"
"Mar 21, 2022","205.35","205.35","205.35","205.35","-0.18"
"Mar 18, 2022","205.71","205.71","205.71","205.71","1.26"
"Mar 17, 2022","203.16","203.16","203.16","203.16","1.36"
"Mar 16, 2022","200.44","200.44","200.44","200.44","2.47"
"Mar 15, 2022","195.60","195.60","195.60","195.60","2.08"
"Mar 14, 2022","191.62","191.62","191.62","191.62","-0.96"
"Mar 11, 2022","193.47","193.47","193.47","193.47","-1.40"
"Mar 10, 2022","196.22","196.22","196.22","196.22","-0.43"
"Mar 09, 2022","197.07","197.07","197.07","197.07","2.70"
"Mar 08, 2022","191.88","191.88","191.88","191.88","-0.54"
"Mar 07, 2022","192.92","192.92","192.92","192.92","-3.07"
"Mar 04, 2022","199.02","199.02","199.02","199.02","-0.99"
"Mar 03, 2022","201.01","201.01","201.01","201.01","-0.75"
"Mar 02, 2022","202.53","202.53","202.53","202.53","1.90"
"Mar 01, 2022","198.75","198.75","198.75","198.75","-1.57"
"Feb 28, 2022","201.93","201.93","201.93","201.93","-0.10"
"Feb 25, 2022","202.14","202.14","202.14","202.14","2.26"
"Feb 24, 2022","197.67","197.67","197.67","197.67","1.74"
"Feb 23, 2022","194.28","194.28","194.28","194.28","-1.90"
"Feb 22, 2022","198.04","198.04","198.04","198.04","-1.09"
"Feb 18, 2022","200.23","200.23","200.23","200.23","-0.79"
"Feb 17, 2022","201.83","201.83","201.83","201.83","-2.23"
"Feb 16, 2022","206.43","206.43","206.43","206.43","0.03"
"Feb 15, 2022","206.36","206.36","206.36","206.36","1.78"
"Feb 14, 2022","202.76","202.76","202.76","202.76","-0.40"
"Feb 11, 2022","203.57","203.57","203.57","203.57","-1.87"
"Feb 10, 2022","207.45","207.45","207.45","207.45","-1.73"
"Feb 09, 2022","211.10","211.10","211.10","211.10","1.61"
"Feb 08, 2022","207.76","207.76","207.76","207.76","0.93"
"Feb 07, 2022","205.84","205.84","205.84","205.84","-0.26"
"Feb 04, 2022","206.37","206.37","206.37","206.37","0.69"
"Feb 03, 2022","204.95","204.95","204.95","204.95","-2.46"
"Feb 02, 2022","210.12","210.12","210.12","210.12","0.62"
"Feb 01, 2022","208.83","208.83","208.83","208.83","0.79"
"Jan 31, 2022","207.20","207.20","207.20","207.20","2.17"
"Jan 28, 2022","202.79","202.79","202.79","202.79","2.45"
"Jan 27, 2022","197.94","197.94","197.94","197.94","-0.72"
"Jan 26, 2022","199.37","199.37","199.37","199.37","-0.33"
"Jan 25, 2022","200.03","200.03","200.03","200.03","-1.36"
"Jan 24, 2022","202.78","202.78","202.78","202.78","0.51"
"Jan 21, 2022","201.75","201.75","201.75","201.75","-1.97"
"Jan 20, 2022","205.80","205.80","205.80","205.80","-1.14"
"Jan 19, 2022","208.18","208.18","208.18","208.18","-1.00"
"Jan 18, 2022","210.29","210.29","210.29","210.29","-1.99"
"Jan 14, 2022","214.55","214.55","214.55","214.55","0.04"
"Jan 13, 2022","214.47","214.47","214.47","214.47","-1.47"
"Jan 12, 2022","217.66","217.66","217.66","217.66","0.15"
"Jan 11, 2022","217.33","217.33","217.33","217.33","1.01"
"Jan 10, 2022","215.16","215.16","215.16","215.16","-0.15"
"Jan 07, 2022","215.49","215.49","215.49","215.49","-0.48"
"Jan 06, 2022","216.53","216.53","216.53","216.53","-0.01"
"Jan 05, 2022","216.56","216.56","216.56","216.56","-2.19"
