"Date","Price","Open","High","Low","Change %"
"May 06, 2022","9.80","9.80","9.80","9.80","-0.41"
"May 05, 2022","9.84","9.84","9.84","9.84","-0.40"
"May 03, 2022","9.88","9.88","9.88","9.88","0.20"
"May 02, 2022","9.86","9.86","9.86","9.86","-0.60"
"Apr 29, 2022","9.92","9.92","9.92","9.92","-0.50"
"Apr 28, 2022","9.97","9.97","9.97","9.97","-0.60"
"Apr 26, 2022","10.03","10.03","10.03","10.03","0.50"
"Apr 25, 2022","9.98","9.98","9.98","9.98","0.50"
"Apr 22, 2022","9.93","9.93","9.93","9.93","-0.20"
"Apr 21, 2022","9.95","9.95","9.95","9.95","-0.50"
"Apr 20, 2022","10.00","10.00","10.00","10.00","0.50"
"Apr 19, 2022","9.95","9.95","9.95","9.95","-0.50"
"Apr 18, 2022","10.00","10.00","10.00","10.00","-0.30"
"Apr 14, 2022","10.03","10.03","10.03","10.03","-0.69"
"Apr 13, 2022","10.10","10.10","10.10","10.10","0.10"
"Apr 12, 2022","10.09","10.09","10.09","10.09","0.20"
"Apr 11, 2022","10.07","10.07","10.07","10.07","-0.40"
"Apr 08, 2022","10.11","10.11","10.11","10.11","-0.59"
"Apr 07, 2022","10.17","10.17","10.17","10.17","-0.20"
"Apr 06, 2022","10.19","10.19","10.19","10.19","-0.29"
"Apr 05, 2022","10.22","10.22","10.22","10.22","-0.87"
"Apr 04, 2022","10.31","10.31","10.31","10.31","0.00"
"Apr 01, 2022","10.31","10.31","10.31","10.31","-0.19"
"Mar 31, 2022","10.33","10.33","10.33","10.33","0.00"
"Mar 30, 2022","10.33","10.33","10.33","10.33","0.29"
"Mar 29, 2022","10.30","10.30","10.30","10.30","0.39"
"Mar 28, 2022","10.26","10.26","10.26","10.26","0.20"
"Mar 25, 2022","10.24","10.24","10.24","10.24","-0.78"
"Mar 24, 2022","10.32","10.32","10.32","10.32","-0.29"
"Mar 23, 2022","10.35","10.35","10.35","10.35","0.49"
"Mar 22, 2022","10.30","10.30","10.30","10.30","-0.29"
"Mar 21, 2022","10.33","10.33","10.33","10.33","-0.96"
"Mar 18, 2022","10.43","10.43","10.43","10.43","0.29"
"Mar 17, 2022","10.40","10.40","10.40","10.40","0.10"
"Mar 16, 2022","10.39","10.39","10.39","10.39","0.10"
"Mar 15, 2022","10.38","10.38","10.38","10.38","0.10"
"Mar 14, 2022","10.37","10.37","10.37","10.37","-0.96"
"Mar 11, 2022","10.47","10.47","10.47","10.47","-0.10"
"Mar 10, 2022","10.48","10.48","10.48","10.48","-0.47"
"Mar 09, 2022","10.53","10.53","10.53","10.53","-0.28"
"Mar 08, 2022","10.56","10.56","10.56","10.56","-0.56"
"Mar 07, 2022","10.62","10.62","10.62","10.62","-0.47"
"Mar 04, 2022","10.67","10.67","10.67","10.67","0.47"
"Mar 03, 2022","10.62","10.62","10.62","10.62","0.28"
"Mar 02, 2022","10.59","10.59","10.59","10.59","-1.21"
"Mar 01, 2022","10.72","10.72","10.72","10.72","0.56"
"Feb 28, 2022","10.66","10.66","10.66","10.66","0.85"
"Feb 25, 2022","10.57","10.57","10.57","10.57","0.09"
"Feb 24, 2022","10.56","10.56","10.56","10.56","0.00"
"Feb 23, 2022","10.56","10.56","10.56","10.56","-0.47"
