"Date","Price","Open","High","Low","Change %"
"May 06, 2022","33.50","33.50","33.50","33.50","-0.83"
"May 05, 2022","33.78","33.78","33.78","33.78","-0.85"
"May 03, 2022","34.07","34.07","34.07","34.07","0.38"
"May 02, 2022","33.94","33.94","33.94","33.94","0.00"
"Apr 29, 2022","33.94","33.94","33.94","33.94","-0.53"
"Apr 27, 2022","34.12","34.12","34.12","34.12","0.09"
"Apr 26, 2022","34.09","34.09","34.09","34.09","-1.59"
"Apr 25, 2022","34.64","34.64","34.64","34.64","0.20"
"Apr 22, 2022","34.57","34.57","34.57","34.57","-1.54"
"Apr 21, 2022","35.11","35.11","35.11","35.11","-1.13"
"Apr 20, 2022","35.51","35.51","35.51","35.51","0.23"
"Apr 19, 2022","35.43","35.43","35.43","35.43","0.57"
"Apr 18, 2022","35.23","35.23","35.23","35.23","-0.28"
"Apr 14, 2022","35.33","35.33","35.33","35.33","-0.81"
"Apr 13, 2022","35.62","35.62","35.62","35.62","0.85"
"Apr 12, 2022","35.32","35.32","35.32","35.32","-0.23"
"Apr 11, 2022","35.40","35.40","35.40","35.40","-1.01"
"Apr 08, 2022","35.76","35.76","35.76","35.76","-0.28"
"Apr 07, 2022","35.86","35.86","35.86","35.86","0.00"
"Apr 06, 2022","35.86","35.86","35.86","35.86","-0.83"
"Apr 05, 2022","36.16","36.16","36.16","36.16","-1.15"
"Apr 04, 2022","36.58","36.58","36.58","36.58","0.55"
"Apr 01, 2022","36.38","36.38","36.38","36.38","0.36"
"Mar 31, 2022","36.25","36.25","36.25","36.25","-0.96"
"Mar 30, 2022","36.60","36.60","36.60","36.60","-0.25"
"Mar 29, 2022","36.69","36.69","36.69","36.69","1.10"
"Mar 28, 2022","36.29","36.29","36.29","36.29","0.28"
"Mar 25, 2022","36.19","36.19","36.19","36.19","-0.11"
"Mar 24, 2022","36.23","36.23","36.23","36.23","0.61"
"Mar 23, 2022","36.01","36.01","36.01","36.01","-0.58"
"Mar 22, 2022","36.22","36.22","36.22","36.22","0.64"
"Mar 21, 2022","35.99","35.99","35.99","35.99","-0.55"
"Mar 18, 2022","36.19","36.19","36.19","36.19","0.86"
"Mar 17, 2022","35.88","35.88","35.88","35.88","0.81"
"Mar 16, 2022","35.59","35.59","35.59","35.59","2.01"
"Mar 15, 2022","34.89","34.89","34.89","34.89","0.95"
"Mar 14, 2022","34.56","34.56","34.56","34.56","-0.75"
"Mar 11, 2022","34.82","34.82","34.82","34.82","-0.85"
"Mar 10, 2022","35.12","35.12","35.12","35.12","-0.54"
"Mar 09, 2022","35.31","35.31","35.31","35.31","1.79"
"Mar 08, 2022","34.69","34.69","34.69","34.69","-0.43"
"Mar 07, 2022","34.84","34.84","34.84","34.84","-2.08"
"Mar 04, 2022","35.58","35.58","35.58","35.58","-0.81"
"Mar 03, 2022","35.87","35.87","35.87","35.87","-0.61"
"Mar 02, 2022","36.09","36.09","36.09","36.09","0.59"
"Mar 01, 2022","35.88","35.88","35.88","35.88","-0.80"
"Feb 28, 2022","36.17","36.17","36.17","36.17","-0.06"
"Feb 25, 2022","36.19","36.19","36.19","36.19","1.43"
"Feb 24, 2022","35.68","35.68","35.68","35.68","0.28"
"Feb 23, 2022","35.58","35.58","35.58","35.58","-1.06"
"Feb 22, 2022","35.96","35.96","35.96","35.96","-0.80"
"Feb 18, 2022","36.25","36.25","36.25","36.25","-0.41"
"Feb 17, 2022","36.40","36.40","36.40","36.40","-1.09"
