"Date","Price","Open","High","Low","Change %"
"May 06, 2022","100.22","100.22","100.22","100.22","-0.81"
"May 05, 2022","101.04","101.04","101.04","101.04","-0.42"
"May 02, 2022","101.47","101.47","101.47","101.47","0.65"
"Apr 29, 2022","100.81","100.81","100.81","100.81","-3.53"
"Apr 28, 2022","104.50","104.50","104.50","104.50","2.41"
"Apr 27, 2022","102.04","102.04","102.04","102.04","0.14"
"Apr 26, 2022","101.90","101.90","101.90","101.90","-2.90"
"Apr 25, 2022","104.94","104.94","104.94","104.94","0.65"
"Apr 22, 2022","104.26","104.26","104.26","104.26","-2.73"
"Apr 21, 2022","107.19","107.19","107.19","107.19","-1.65"
"Apr 20, 2022","108.99","108.99","108.99","108.99","-0.11"
"Apr 19, 2022","109.11","109.11","109.11","109.11","1.74"
"Apr 18, 2022","107.24","107.24","107.24","107.24","-0.18"
"Apr 14, 2022","107.43","107.43","107.43","107.43","-1.22"
"Apr 13, 2022","108.76","108.76","108.76","108.76","1.30"
"Apr 12, 2022","107.36","107.36","107.36","107.36","-0.29"
"Apr 11, 2022","107.67","107.67","107.67","107.67","-1.53"
"Apr 08, 2022","109.34","109.34","109.34","109.34","-0.33"
"Apr 07, 2022","109.70","109.70","109.70","109.70","0.32"
"Apr 06, 2022","109.35","109.35","109.35","109.35","-1.10"
"Apr 05, 2022","110.57","110.57","110.57","110.57","-1.43"
"Apr 04, 2022","112.17","112.17","112.17","112.17","0.80"
"Apr 01, 2022","111.28","111.28","111.28","111.28","0.43"
"Mar 31, 2022","110.80","110.80","110.80","110.80","-1.52"
"Mar 30, 2022","112.51","112.51","112.51","112.51","-0.79"
"Mar 29, 2022","113.41","113.41","113.41","113.41","1.48"
"Mar 28, 2022","111.76","111.76","111.76","111.76","0.69"
"Mar 25, 2022","110.99","110.99","110.99","110.99","0.38"
"Mar 24, 2022","110.57","110.57","110.57","110.57","1.40"
"Mar 23, 2022","109.04","109.04","109.04","109.04","-1.27"
"Mar 22, 2022","110.44","110.44","110.44","110.44","0.88"
"Mar 21, 2022","109.48","109.48","109.48","109.48","-0.17"
"Mar 18, 2022","109.67","109.67","109.67","109.67","1.26"
"Mar 17, 2022","108.31","108.31","108.31","108.31","1.36"
"Mar 16, 2022","106.86","106.86","106.86","106.86","2.47"
"Mar 15, 2022","104.28","104.28","104.28","104.28","2.08"
"Mar 14, 2022","102.16","102.16","102.16","102.16","-0.95"
"Mar 11, 2022","103.14","103.14","103.14","103.14","-1.41"
"Mar 10, 2022","104.61","104.61","104.61","104.61","-0.43"
"Mar 09, 2022","105.06","105.06","105.06","105.06","2.70"
"Mar 08, 2022","102.30","102.30","102.30","102.30","-0.53"
"Mar 07, 2022","102.85","102.85","102.85","102.85","-3.06"
"Mar 04, 2022","106.10","106.10","106.10","106.10","-1.00"
"Mar 03, 2022","107.17","107.17","107.17","107.17","-0.75"
"Mar 02, 2022","107.98","107.98","107.98","107.98","1.91"
"Mar 01, 2022","105.96","105.96","105.96","105.96","-1.57"
"Feb 28, 2022","107.65","107.65","107.65","107.65","-0.11"
