"Date","Price","Open","High","Low","Change %"
"May 06, 2022","20.72","20.72","20.72","20.72","-0.81"
"May 05, 2022","20.89","20.89","20.89","20.89","-0.95"
"May 03, 2022","21.09","21.09","21.09","21.09","0.43"
"May 02, 2022","21.00","21.00","21.00","21.00","-1.78"
"Apr 28, 2022","21.38","21.38","21.38","21.38","1.33"
"Apr 27, 2022","21.10","21.10","21.10","21.10","0.14"
"Apr 26, 2022","21.07","21.07","21.07","21.07","-1.82"
"Apr 25, 2022","21.46","21.46","21.46","21.46","0.19"
"Apr 22, 2022","21.42","21.42","21.42","21.42","-1.70"
"Apr 21, 2022","21.79","21.79","21.79","21.79","-1.22"
"Apr 20, 2022","22.06","22.06","22.06","22.06","0.23"
"Apr 19, 2022","22.01","22.01","22.01","22.01","0.69"
"Apr 18, 2022","21.86","21.86","21.86","21.86","-0.32"
"Apr 14, 2022","21.93","21.93","21.93","21.93","-0.81"
"Apr 13, 2022","22.11","22.11","22.11","22.11","0.96"
"Apr 12, 2022","21.90","21.90","21.90","21.90","-0.27"
"Apr 11, 2022","21.96","21.96","21.96","21.96","-1.13"
"Apr 08, 2022","22.21","22.21","22.21","22.21","-0.22"
"Apr 07, 2022","22.26","22.26","22.26","22.26","0.00"
"Apr 06, 2022","22.26","22.26","22.26","22.26","-0.89"
"Apr 05, 2022","22.46","22.46","22.46","22.46","-1.14"
"Apr 04, 2022","22.72","22.72","22.72","22.72","0.58"
"Apr 01, 2022","22.59","22.59","22.59","22.59","0.44"
"Mar 31, 2022","22.49","22.49","22.49","22.49","-1.10"
"Mar 30, 2022","22.74","22.74","22.74","22.74","-0.31"
"Mar 29, 2022","22.81","22.81","22.81","22.81","1.20"
"Mar 28, 2022","22.54","22.54","22.54","22.54","0.31"
"Mar 25, 2022","22.47","22.47","22.47","22.47","-0.04"
"Mar 24, 2022","22.48","22.48","22.48","22.48","0.67"
"Mar 23, 2022","22.33","22.33","22.33","22.33","-0.67"
"Mar 22, 2022","22.48","22.48","22.48","22.48","0.76"
"Mar 21, 2022","22.31","22.31","22.31","22.31","-0.54"
"Mar 18, 2022","22.43","22.43","22.43","22.43","0.95"
