"Date","Price","Open","High","Low","Change %"
"May 06, 2022","17.860","17.860","17.860","17.860","-0.72"
"May 05, 2022","17.990","17.990","17.990","17.990","-2.18"
"May 04, 2022","18.390","18.390","18.390","18.390","1.43"
"May 03, 2022","18.130","18.130","18.130","18.130","0.33"
"May 02, 2022","18.070","18.070","18.070","18.070","-0.06"
"Apr 29, 2022","18.080","18.080","18.080","18.080","-1.58"
"Apr 28, 2022","18.370","18.370","18.370","18.370","1.05"
"Apr 27, 2022","18.180","18.180","18.180","18.180","0.06"
"Apr 26, 2022","18.170","18.170","18.170","18.170","-1.36"
"Apr 25, 2022","18.420","18.420","18.420","18.420","0.27"
"Apr 22, 2022","18.370","18.370","18.370","18.370","-1.40"
"Apr 21, 2022","18.630","18.630","18.630","18.630","-1.06"
"Apr 20, 2022","18.830","18.830","18.830","18.830","0.27"
"Apr 19, 2022","18.780","18.780","18.780","18.780","0.48"
"Apr 18, 2022","18.690","18.690","18.690","18.690","-0.27"
"Apr 14, 2022","18.740","18.740","18.740","18.740","-0.79"
"Apr 13, 2022","18.890","18.890","18.890","18.890","0.75"
"Apr 12, 2022","18.750","18.750","18.750","18.750","-0.16"
"Apr 11, 2022","18.780","18.780","18.780","18.780","-0.95"
"Apr 08, 2022","18.960","18.960","18.960","18.960","-0.26"
"Apr 07, 2022","19.010","19.010","19.010","19.010","0.00"
"Apr 06, 2022","19.010","19.010","19.010","19.010","-0.78"
"Apr 05, 2022","19.160","19.160","19.160","19.160","-1.08"
"Apr 04, 2022","19.370","19.370","19.370","19.370","0.47"
"Apr 01, 2022","19.280","19.280","19.280","19.280","0.31"
"Mar 31, 2022","19.220","19.220","19.220","19.220","-0.83"
"Mar 30, 2022","19.380","19.380","19.380","19.380","-0.21"
"Mar 29, 2022","19.420","19.420","19.420","19.420","0.99"
"Mar 28, 2022","19.230","19.230","19.230","19.230","0.26"
"Mar 25, 2022","19.180","19.180","19.180","19.180","-0.16"
"Mar 24, 2022","19.210","19.210","19.210","19.210","0.47"
"Mar 23, 2022","19.120","19.120","19.120","19.120","-0.42"
"Mar 22, 2022","19.200","19.200","19.200","19.200","0.52"
"Mar 21, 2022","19.100","19.100","19.100","19.100","-0.57"
"Mar 18, 2022","19.210","19.210","19.210","19.210","0.79"
"Mar 17, 2022","19.060","19.060","19.060","19.060","0.74"
"Mar 16, 2022","18.920","18.920","18.920","18.920","1.72"
"Mar 15, 2022","18.600","18.600","18.600","18.600","0.81"
"Mar 14, 2022","18.450","18.450","18.450","18.450","-0.75"
"Mar 11, 2022","18.590","18.590","18.590","18.590","-0.69"
"Mar 10, 2022","18.720","18.720","18.720","18.720","-0.53"
"Mar 09, 2022","18.820","18.820","18.820","18.820","1.51"
"Mar 08, 2022","18.540","18.540","18.540","18.540","-0.43"
"Mar 07, 2022","18.620","18.620","18.620","18.620","-1.85"
"Mar 04, 2022","18.970","18.970","18.970","18.970","-0.68"
"Mar 03, 2022","19.100","19.100","19.100","19.100","-0.47"
"Mar 02, 2022","19.190","19.190","19.190","19.190","0.37"
"Mar 01, 2022","19.120","19.120","19.120","19.120","-0.57"
"Feb 28, 2022","19.230","19.230","19.230","19.230","0.00"
"Feb 25, 2022","19.230","19.230","19.230","19.230","1.26"
"Feb 24, 2022","18.990","18.990","18.990","18.990","0.26"
"Feb 23, 2022","18.940","18.940","18.940","18.940","-0.94"
"Feb 22, 2022","19.120","19.120","19.120","19.120","-0.73"
"Feb 18, 2022","19.260","19.260","19.260","19.260","-0.31"
"Feb 17, 2022","19.320","19.320","19.320","19.320","-0.92"
"Feb 16, 2022","19.500","19.500","19.500","19.500","0.15"
"Feb 15, 2022","19.470","19.470","19.470","19.470","0.88"
"Feb 14, 2022","19.300","19.300","19.300","19.300","-0.52"
"Feb 11, 2022","19.400","19.400","19.400","19.400","-0.67"
"Feb 10, 2022","19.530","19.530","19.530","19.530","-1.11"
"Feb 09, 2022","19.750","19.750","19.750","19.750","0.92"
"Feb 08, 2022","19.570","19.570","19.570","19.570","0.31"
"Feb 07, 2022","19.510","19.510","19.510","19.510","-0.10"
"Feb 04, 2022","19.530","19.530","19.530","19.530","0.05"
"Feb 03, 2022","19.520","19.520","19.520","19.520","-1.36"
"Feb 02, 2022","19.790","19.790","19.790","19.790","0.46"
"Feb 01, 2022","19.700","19.700","19.700","19.700","0.36"
"Jan 31, 2022","19.630","19.630","19.630","19.630","1.13"
"Jan 28, 2022","19.410","19.410","19.410","19.410","0.94"
"Jan 27, 2022","19.230","19.230","19.230","19.230","-0.36"
"Jan 26, 2022","19.300","19.300","19.300","19.300","-0.36"
"Jan 25, 2022","19.370","19.370","19.370","19.370","-0.67"
"Jan 24, 2022","19.500","19.500","19.500","19.500","-0.05"
"Jan 21, 2022","19.510","19.510","19.510","19.510","-0.86"
"Jan 20, 2022","19.680","19.680","19.680","19.680","-0.40"
"Jan 19, 2022","19.760","19.760","19.760","19.760","-0.25"
"Jan 18, 2022","19.810","19.810","19.810","19.810","-1.25"
"Jan 14, 2022","20.060","20.060","20.060","20.060","-0.20"
"Jan 13, 2022","20.100","20.100","20.100","20.100","-0.59"
"Jan 12, 2022","20.220","20.220","20.220","20.220","1.05"
"Jan 10, 2022","20.010","20.010","20.010","20.010","-0.25"
"Jan 07, 2022","20.060","20.060","20.060","20.060","-0.15"
"Jan 06, 2022","20.090","20.090","20.090","20.090","-0.15"
"Jan 05, 2022","20.120","20.120","20.120","20.120","-1.08"
"Jan 04, 2022","20.340","20.340","20.340","20.340","0.00"
"Jan 03, 2022","20.340","20.340","20.340","20.340","0.00"
"Dec 31, 2021","20.340","20.340","20.340","20.340","-0.05"
"Dec 30, 2021","20.350","20.350","20.350","20.350","0.05"
"Dec 29, 2021","20.340","20.340","20.340","20.340","-14.07"
"Dec 28, 2021","23.670","23.670","23.670","23.670","-0.08"
"Dec 27, 2021","23.690","23.690","23.690","23.690","0.59"
"Dec 23, 2021","23.550","23.550","23.550","23.550","0.30"
"Dec 22, 2021","23.480","23.480","23.480","23.480","0.51"
"Dec 21, 2021","23.360","23.360","23.360","23.360","0.91"
"Dec 20, 2021","23.150","23.150","23.150","23.150","-0.64"
"Dec 17, 2021","23.300","23.300","23.300","23.300","-0.38"
"Dec 16, 2021","23.390","23.390","23.390","23.390","-0.30"
"Dec 15, 2021","23.460","23.460","23.460","23.460","0.69"
"Dec 14, 2021","23.300","23.300","23.300","23.300","-0.43"
"Dec 13, 2021","23.400","23.400","23.400","23.400","-0.51"
"Dec 10, 2021","23.520","23.520","23.520","23.520","0.30"
"Dec 09, 2021","23.450","23.450","23.450","23.450","-0.47"
"Dec 08, 2021","23.560","23.560","23.560","23.560","0.13"
"Dec 07, 2021","23.530","23.530","23.530","23.530","1.12"
"Dec 06, 2021","23.270","23.270","23.270","23.270","0.47"
"Dec 03, 2021","23.160","23.160","23.160","23.160","-0.39"
"Dec 02, 2021","23.250","23.250","23.250","23.250","0.82"
"Dec 01, 2021","23.060","23.060","23.060","23.060","-0.52"
"Nov 30, 2021","23.180","23.180","23.180","23.180","-0.77"
"Nov 29, 2021","23.360","23.360","23.360","23.360","0.34"
"Nov 26, 2021","23.280","23.280","23.280","23.280","-1.06"
"Nov 24, 2021","23.530","23.530","23.530","23.530","0.09"
"Nov 23, 2021","23.510","23.510","23.510","23.510","-0.13"
"Nov 22, 2021","23.540","23.540","23.540","23.540","-0.59"
"Nov 19, 2021","23.680","23.680","23.680","23.680","-0.13"
"Nov 18, 2021","23.710","23.710","23.710","23.710","0.04"
"Nov 17, 2021","23.700","23.700","23.700","23.700","-0.13"
"Nov 16, 2021","23.730","23.730","23.730","23.730","0.08"
"Nov 15, 2021","23.710","23.710","23.710","23.710","-0.17"
"Nov 12, 2021","23.750","23.750","23.750","23.750","0.42"
"Nov 11, 2021","23.650","23.650","23.650","23.650","0.13"
"Nov 10, 2021","23.620","23.620","23.620","23.620","-0.84"
"Nov 09, 2021","23.820","23.820","23.820","23.820","0.00"
"Nov 08, 2021","23.820","23.820","23.820","23.820","0.04"
"Nov 05, 2021","23.810","23.810","23.810","23.810","0.34"
"Nov 04, 2021","23.730","23.730","23.730","23.730","0.25"
"Nov 03, 2021","23.670","23.670","23.670","23.670","0.34"
"Nov 02, 2021","23.590","23.590","23.590","23.590","0.08"
"Nov 01, 2021","23.570","23.570","23.570","23.570","0.38"
"Oct 29, 2021","23.480","23.480","23.480","23.480","-0.21"
"Oct 28, 2021","23.530","23.530","23.530","23.530","0.47"
