"Date","Price","Open","High","Low","Change %"
"May 06, 2022","13.38","13.38","13.38","13.38","-0.22"
"May 05, 2022","13.41","13.41","13.41","13.41","-0.15"
"May 04, 2022","13.43","13.43","13.43","13.43","-0.15"
"May 02, 2022","13.45","13.45","13.45","13.45","-0.15"
"Apr 29, 2022","13.47","13.47","13.47","13.47","0.00"
"Apr 28, 2022","13.47","13.47","13.47","13.47","-0.15"
"Apr 27, 2022","13.49","13.49","13.49","13.49","0.00"
"Apr 26, 2022","13.49","13.49","13.49","13.49","0.00"
"Apr 25, 2022","13.49","13.49","13.49","13.49","-0.07"
"Apr 22, 2022","13.50","13.50","13.50","13.50","-0.07"
"Apr 21, 2022","13.51","13.51","13.51","13.51","-0.15"
"Apr 20, 2022","13.53","13.53","13.53","13.53","-0.07"
"Apr 19, 2022","13.54","13.54","13.54","13.54","-0.51"
"Apr 18, 2022","13.61","13.61","13.61","13.61","-0.22"
"Apr 14, 2022","13.64","13.64","13.64","13.64","-0.07"
"Apr 13, 2022","13.65","13.65","13.65","13.65","0.00"
"Apr 12, 2022","13.65","13.65","13.65","13.65","-0.22"
"Apr 11, 2022","13.68","13.68","13.68","13.68","-0.29"
"Apr 08, 2022","13.72","13.72","13.72","13.72","-0.07"
"Apr 07, 2022","13.73","13.73","13.73","13.73","-0.22"
"Apr 06, 2022","13.76","13.76","13.76","13.76","-0.43"
"Apr 05, 2022","13.82","13.82","13.82","13.82","-0.07"
"Apr 04, 2022","13.83","13.83","13.83","13.83","0.00"
"Apr 01, 2022","13.83","13.83","13.83","13.83","0.00"
"Mar 31, 2022","13.83","13.83","13.83","13.83","0.14"
"Mar 30, 2022","13.81","13.81","13.81","13.81","0.15"
"Mar 29, 2022","13.79","13.79","13.79","13.79","-0.14"
"Mar 28, 2022","13.81","13.81","13.81","13.81","-0.14"
"Mar 25, 2022","13.83","13.83","13.83","13.83","-0.29"
"Mar 24, 2022","13.87","13.87","13.87","13.87","-0.22"
"Mar 23, 2022","13.90","13.90","13.90","13.90","-0.22"
"Mar 22, 2022","13.93","13.93","13.93","13.93","-0.43"
"Mar 21, 2022","13.99","13.99","13.99","13.99","-0.07"
"Mar 18, 2022","14.00","14.00","14.00","14.00","0.07"
"Mar 17, 2022","13.99","13.99","13.99","13.99","0.14"
"Mar 16, 2022","13.97","13.97","13.97","13.97","-0.07"
"Mar 15, 2022","13.98","13.98","13.98","13.98","-0.21"
"Mar 14, 2022","14.01","14.01","14.01","14.01","-0.43"
"Mar 11, 2022","14.07","14.07","14.07","14.07","-0.21"
"Mar 10, 2022","14.10","14.10","14.10","14.10","-0.28"
"Mar 09, 2022","14.14","14.14","14.14","14.14","-0.14"
"Mar 08, 2022","14.16","14.16","14.16","14.16","-0.28"
"Mar 07, 2022","14.20","14.20","14.20","14.20","-0.14"
"Mar 04, 2022","14.22","14.22","14.22","14.22","-0.07"
"Mar 03, 2022","14.23","14.23","14.23","14.23","-0.21"
"Mar 02, 2022","14.26","14.26","14.26","14.26","-0.07"
"Mar 01, 2022","14.27","14.27","14.27","14.27","0.21"
"Feb 28, 2022","14.24","14.24","14.24","14.24","0.00"
"Feb 25, 2022","14.24","14.24","14.24","14.24","-0.07"
"Feb 24, 2022","14.25","14.25","14.25","14.25","0.21"
"Feb 23, 2022","14.22","14.22","14.22","14.22","-0.07"
"Feb 22, 2022","14.23","14.23","14.23","14.23","0.00"
"Feb 18, 2022","14.23","14.23","14.23","14.23","0.14"
"Feb 17, 2022","14.21","14.21","14.21","14.21","0.07"
"Feb 16, 2022","14.20","14.20","14.20","14.20","0.00"
"Feb 15, 2022","14.20","14.20","14.20","14.20","-0.21"
"Feb 14, 2022","14.23","14.23","14.23","14.23","-0.14"
"Feb 11, 2022","14.25","14.25","14.25","14.25","-0.21"
"Feb 10, 2022","14.28","14.28","14.28","14.28","-0.42"
"Feb 09, 2022","14.34","14.34","14.34","14.34","-0.07"
"Feb 08, 2022","14.35","14.35","14.35","14.35","-0.14"
"Feb 07, 2022","14.37","14.37","14.37","14.37","-0.07"
"Feb 04, 2022","14.38","14.38","14.38","14.38","-0.14"
"Feb 03, 2022","14.40","14.40","14.40","14.40","0.21"
"Feb 02, 2022","14.37","14.37","14.37","14.37","0.14"
"Feb 01, 2022","14.35","14.35","14.35","14.35","0.21"
"Jan 31, 2022","14.32","14.32","14.32","14.32","-0.14"
"Jan 28, 2022","14.34","14.34","14.34","14.34","-0.35"
"Jan 27, 2022","14.39","14.39","14.39","14.39","-0.28"
"Jan 26, 2022","14.43","14.43","14.43","14.43","-0.28"
"Jan 25, 2022","14.47","14.47","14.47","14.47","-0.14"
"Jan 24, 2022","14.49","14.49","14.49","14.49","-0.14"
"Jan 21, 2022","14.51","14.51","14.51","14.51","-0.07"
"Jan 20, 2022","14.52","14.52","14.52","14.52","-0.14"
"Jan 19, 2022","14.54","14.54","14.54","14.54","-0.07"
"Jan 18, 2022","14.55","14.55","14.55","14.55","-0.14"
"Jan 14, 2022","14.57","14.57","14.57","14.57","-0.07"
"Jan 13, 2022","14.58","14.58","14.58","14.58","0.00"
"Jan 12, 2022","14.58","14.58","14.58","14.58","-0.07"
"Jan 11, 2022","14.59","14.59","14.59","14.59","0.00"
"Jan 10, 2022","14.59","14.59","14.59","14.59","-0.27"
"Jan 07, 2022","14.63","14.63","14.63","14.63","-0.14"
"Jan 06, 2022","14.65","14.65","14.65","14.65","-0.20"
"Jan 05, 2022","14.68","14.68","14.68","14.68","-0.07"
"Jan 04, 2022","14.69","14.69","14.69","14.69","-0.07"
"Jan 03, 2022","14.70","14.70","14.70","14.70","0.00"
"Dec 31, 2021","14.70","14.70","14.70","14.70","0.00"
"Dec 30, 2021","14.70","14.70","14.70","14.70","0.00"
"Dec 29, 2021","14.70","14.70","14.70","14.70","-0.14"
"Dec 28, 2021","14.72","14.72","14.72","14.72","0.00"
"Dec 27, 2021","14.72","14.72","14.72","14.72","0.00"
"Dec 23, 2021","14.72","14.72","14.72","14.72","0.00"
"Dec 22, 2021","14.72","14.72","14.72","14.72","0.00"
"Dec 21, 2021","14.72","14.72","14.72","14.72","0.00"
"Dec 20, 2021","14.72","14.72","14.72","14.72","0.00"
"Dec 17, 2021","14.72","14.72","14.72","14.72","0.00"
"Dec 16, 2021","14.72","14.72","14.72","14.72","0.00"
"Dec 15, 2021","14.72","14.72","14.72","14.72","0.00"
"Dec 14, 2021","14.72","14.72","14.72","14.72","0.00"
"Dec 13, 2021","14.72","14.72","14.72","14.72","0.00"
"Dec 10, 2021","14.72","14.72","14.72","14.72","0.00"
"Dec 09, 2021","14.72","14.72","14.72","14.72","0.00"
"Dec 08, 2021","14.72","14.72","14.72","14.72","0.00"
"Dec 07, 2021","14.72","14.72","14.72","14.72","0.00"
"Dec 06, 2021","14.72","14.72","14.72","14.72","-0.07"
"Dec 03, 2021","14.73","14.73","14.73","14.73","0.07"
"Dec 02, 2021","14.72","14.72","14.72","14.72","-0.07"
"Dec 01, 2021","14.73","14.73","14.73","14.73","0.00"
"Nov 30, 2021","14.73","14.73","14.73","14.73","0.14"
"Nov 29, 2021","14.71","14.71","14.71","14.71","0.00"
"Nov 26, 2021","14.71","14.71","14.71","14.71","0.14"
"Nov 24, 2021","14.69","14.69","14.69","14.69","0.00"
"Nov 23, 2021","14.69","14.69","14.69","14.69","-0.07"
"Nov 22, 2021","14.70","14.70","14.70","14.70","0.00"
"Nov 19, 2021","14.70","14.70","14.70","14.70","0.07"
"Nov 18, 2021","14.69","14.69","14.69","14.69","0.00"
"Nov 17, 2021","14.69","14.69","14.69","14.69","-0.07"
"Nov 16, 2021","14.70","14.70","14.70","14.70","0.00"
"Nov 15, 2021","14.70","14.70","14.70","14.70","-0.14"
"Nov 12, 2021","14.72","14.72","14.72","14.72","0.00"
"Nov 11, 2021","14.72","14.72","14.72","14.72","0.00"
"Nov 10, 2021","14.72","14.72","14.72","14.72","0.00"
"Nov 09, 2021","14.72","14.72","14.72","14.72","0.14"
"Nov 08, 2021","14.70","14.70","14.70","14.70","0.00"
"Nov 05, 2021","14.70","14.70","14.70","14.70","0.14"
"Nov 04, 2021","14.68","14.68","14.68","14.68","0.07"
"Nov 03, 2021","14.67","14.67","14.67","14.67","0.07"
"Nov 02, 2021","14.66","14.66","14.66","14.66","0.00"
"Nov 01, 2021","14.66","14.66","14.66","14.66","0.00"
"Oct 29, 2021","14.66","14.66","14.66","14.66","0.00"
"Oct 28, 2021","14.66","14.66","14.66","14.66","0.07"
"Oct 27, 2021","14.65","14.65","14.65","14.65","0.07"
"Oct 26, 2021","14.64","14.64","14.64","14.64","-0.07"
"Oct 25, 2021","14.65","14.65","14.65","14.65","0.00"
"Oct 22, 2021","14.65","14.65","14.65","14.65","0.00"
"Oct 21, 2021","14.65","14.65","14.65","14.65","-0.20"
"Oct 20, 2021","14.68","14.68","14.68","14.68","0.00"
"Oct 19, 2021","14.68","14.68","14.68","14.68","-0.07"
"Oct 18, 2021","14.69","14.69","14.69","14.69","-0.07"
"Oct 15, 2021","14.70","14.70","14.70","14.70","0.07"
"Oct 14, 2021","14.69","14.69","14.69","14.69","0.00"
"Oct 13, 2021","14.69","14.69","14.69","14.69","0.00"
"Oct 12, 2021","14.69","14.69","14.69","14.69","-0.07"
"Oct 11, 2021","14.70","14.70","14.70","14.70","0.07"
"Oct 08, 2021","14.69","14.69","14.69","14.69","-0.07"
"Oct 07, 2021","14.70","14.70","14.70","14.70","-0.07"
"Oct 06, 2021","14.71","14.71","14.71","14.71","0.00"
"Oct 05, 2021","14.71","14.71","14.71","14.71","-0.07"
"Oct 04, 2021","14.72","14.72","14.72","14.72","0.07"
"Oct 01, 2021","14.71","14.71","14.71","14.71","0.00"
"Sep 30, 2021","14.71","14.71","14.71","14.71","-0.07"
"Sep 29, 2021","14.72","14.72","14.72","14.72","-0.07"
"Sep 28, 2021","14.73","14.73","14.73","14.73","-0.27"
"Sep 27, 2021","14.77","14.77","14.77","14.77","-0.14"
"Sep 24, 2021","14.79","14.79","14.79","14.79","-0.07"
"Sep 23, 2021","14.80","14.80","14.80","14.80","-0.13"
"Sep 22, 2021","14.82","14.82","14.82","14.82","0.00"
"Sep 21, 2021","14.82","14.82","14.82","14.82","0.00"
"Sep 20, 2021","14.82","14.82","14.82","14.82","0.00"
"Sep 17, 2021","14.82","14.82","14.82","14.82","0.00"
"Sep 16, 2021","14.82","14.82","14.82","14.82","0.00"
"Sep 15, 2021","14.82","14.82","14.82","14.82","0.00"
"Sep 14, 2021","14.82","14.82","14.82","14.82","0.00"
"Sep 13, 2021","14.82","14.82","14.82","14.82","0.00"
"Sep 10, 2021","14.82","14.82","14.82","14.82","0.00"
"Sep 09, 2021","14.82","14.82","14.82","14.82","0.00"
"Sep 08, 2021","14.82","14.82","14.82","14.82","0.00"
"Sep 07, 2021","14.82","14.82","14.82","14.82","-0.07"
"Sep 03, 2021","14.83","14.83","14.83","14.83","0.00"
"Sep 02, 2021","14.83","14.83","14.83","14.83","0.00"
"Sep 01, 2021","14.83","14.83","14.83","14.83","-0.07"
"Aug 31, 2021","14.84","14.84","14.84","14.84","0.00"
"Aug 30, 2021","14.84","14.84","14.84","14.84","0.00"
"Aug 27, 2021","14.84","14.84","14.84","14.84","0.00"
"Aug 26, 2021","14.84","14.84","14.84","14.84","0.00"
