"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 06, 2020","155.13","149.80","156.10","149.47","2.47M","7.29"
"Apr 03, 2020","144.59","146.42","147.39","142.93","1.13M","-1.55"
"Apr 02, 2020","146.86","143.18","147.17","142.87","2.56M","1.87"
"Apr 01, 2020","144.16","145.31","147.66","142.89","2.03M","-4.31"
"Mar 31, 2020","150.65","151.93","154.21","150.00","2.94M","-1.41"
"Mar 30, 2020","152.81","149.27","153.07","148.23","4.09M","3.44"
"Mar 28, 2020","147.73","147.73","147.73","147.73","0","0.00"
"Mar 27, 2020","147.73","148.77","151.72","146.73","3.38M","-3.39"
"Mar 26, 2020","152.92","146.06","153.41","144.96","3.86M","5.96"
"Mar 25, 2020","144.32","144.53","150.03","141.14","4.61M","0.47"
"Mar 24, 2020","143.65","138.17","143.82","137.75","2.35M","9.13"
"Mar 23, 2020","131.63","133.17","135.00","128.23","5.92M","-1.75"
"Mar 21, 2020","133.98","133.98","133.98","133.98","0","0.00"
"Mar 20, 2020","133.98","141.74","143.66","133.69","4.02M","-4.25"
"Mar 19, 2020","139.92","137.51","144.00","134.39","2.76M","0.46"
"Mar 18, 2020","139.28","136.22","140.99","131.32","5.19M","-4.66"
"Mar 17, 2020","146.09","140.38","146.78","135.25","3.69M","5.82"
"Mar 16, 2020","138.06","137.42","147.65","130.81","2.96M","-11.79"
"Mar 14, 2020","156.51","156.51","156.51","156.51","0","0.00"
"Mar 13, 2020","156.51","151.55","156.51","144.00","3.68M","8.94"
"Mar 12, 2020","143.66","146.60","153.78","140.23","3.42M","-9.13"
"Mar 11, 2020","158.09","161.41","162.48","156.06","2.53M","-4.67"
"Mar 10, 2020","165.84","163.05","165.88","157.35","2.72M","5.49"
"Mar 09, 2020","157.21","156.19","163.04","155.50","2.22M","-7.09"
"Mar 06, 2020","169.21","166.87","170.05","164.93","1.84M","-1.54"
"Mar 05, 2020","171.85","173.40","175.66","170.64","1.48M","-3.31"
"Mar 04, 2020","177.73","174.21","177.80","172.33","1.78M","4.33"
"Mar 03, 2020","170.35","176.40","178.30","168.84","2.49M","-3.02"
"Mar 02, 2020","175.66","169.52","175.68","167.25","2.86M","4.58"
"Feb 28, 2020","167.97","161.87","168.05","161.47","5.98M","0.07"
"Feb 27, 2020","167.85","171.47","174.66","167.74","3.85M","-4.57"
"Feb 26, 2020","175.89","176.48","179.43","174.93","3.93M","0.01"
"Feb 25, 2020","175.87","182.43","183.04","175.28","4.05M","-2.99"
"Feb 24, 2020","181.29","180.67","183.24","180.19","3.22M","-3.62"
"Feb 21, 2020","188.10","190.10","190.53","187.47","1.96M","-1.57"
"Feb 20, 2020","191.10","191.88","192.49","188.82","1.95M","-0.62"
"Feb 19, 2020","192.29","191.84","192.75","191.72","1.02M","0.69"
"Feb 18, 2020","190.97","190.14","191.28","190.09","963.37K","-0.02"
"Feb 17, 2020","191.01","191.01","191.01","191.01","0","0.00"
"Feb 14, 2020","191.01","190.56","191.15","190.23","1.20M","0.36"
"Feb 13, 2020","190.32","189.36","191.12","189.21","970.07K","-0.08"
"Feb 12, 2020","190.47","189.76","190.57","189.28","1.25M","0.86"
"Feb 11, 2020","188.85","189.84","190.13","188.43","1.11M","0.06"
"Feb 10, 2020","188.74","186.14","188.76","186.14","988.76K","1.08"
"Feb 07, 2020","186.73","186.76","187.62","186.27","1.36M","-0.43"
"Feb 06, 2020","187.53","187.10","187.61","186.36","1.72M","0.60"
"Feb 05, 2020","186.42","187.42","187.43","185.43","1.60M","0.41"
"Feb 04, 2020","185.66","184.37","186.03","184.06","1.30M","1.98"
"Feb 03, 2020","182.05","180.69","182.75","180.57","1.52M","1.20"
"Jan 31, 2020","179.90","183.38","183.39","179.34","3.08M","-1.75"
"Jan 30, 2020","183.11","181.62","183.28","181.13","1.46M","0.19"
"Jan 29, 2020","182.76","183.41","183.92","182.16","994.54K","0.22"
"Jan 28, 2020","182.36","181.08","182.82","180.66","1.09M","1.25"
"Jan 27, 2020","180.10","179.71","181.02","179.15","1.84M","-1.72"
"Jan 24, 2020","183.25","185.55","185.71","182.46","2.01M","-0.90"
"Jan 23, 2020","184.92","184.36","185.04","183.71","2.14M","0.17"
"Jan 22, 2020","184.60","185.33","185.80","184.51","893.75K","0.07"
"Jan 21, 2020","184.47","183.97","185.00","183.97","2.29M","-0.05"
"Jan 17, 2020","184.57","184.48","184.66","183.82","2.11M","0.39"
"Jan 16, 2020","183.86","182.94","183.86","182.72","1.35M","0.93"
"Jan 15, 2020","182.16","181.58","182.71","181.50","3.13M","0.40"
"Jan 14, 2020","181.44","182.01","182.31","181.20","1.34M","-0.35"
"Jan 13, 2020","182.08","181.13","182.08","180.84","1.80M","0.91"
"Jan 10, 2020","180.44","181.29","181.44","180.15","2.06M","-0.18"
"Jan 09, 2020","180.76","180.46","181.01","180.06","1.27M","0.82"
"Jan 08, 2020","179.29","178.00","179.99","177.74","1.62M","0.83"
"Jan 07, 2020","177.82","178.04","178.43","177.55","1.34M","-0.21"
"Jan 06, 2020","178.19","175.86","178.25","175.66","2.46M","0.64"
"Jan 03, 2020","177.06","176.10","178.31","176.00","2.04M","-0.72"
"Jan 02, 2020","178.35","177.17","178.35","176.75","1.68M","1.38"
"Dec 31, 2019","175.92","175.24","176.06","175.00","1.33M","0.17"
"Dec 30, 2019","175.62","176.82","177.04","174.93","1.42M","-0.68"
"Dec 27, 2019","176.82","177.31","177.34","176.45","1.84M","-0.01"
"Dec 26, 2019","176.84","175.91","176.85","175.82","1.49M","0.72"
"Dec 24, 2019","175.57","175.84","175.84","175.30","937.67K","-0.01"
"Dec 23, 2019","175.59","175.67","175.87","175.50","1.90M","0.22"
"Dec 20, 2019","175.21","175.44","175.49","174.89","1.54M","0.43"
"Dec 19, 2019","174.46","173.62","174.51","173.40","1.58M","0.61"
"Dec 18, 2019","173.40","173.59","173.87","173.28","969.33K","0.10"
"Dec 17, 2019","173.22","173.70","173.70","173.02","1.29M","-0.07"
"Dec 16, 2019","173.35","172.76","173.67","172.75","2.28M","0.56"
"Dec 13, 2019","172.38","171.90","172.83","171.43","2.44M","0.33"
"Dec 12, 2019","171.81","170.79","172.40","170.43","2.12M","0.55"
"Dec 11, 2019","170.87","170.58","171.01","170.18","1.13M","0.36"
"Dec 10, 2019","170.25","170.64","170.91","169.94","1.53M","-0.11"
"Dec 09, 2019","170.43","170.89","171.32","170.40","1.48M","-0.36"
"Dec 06, 2019","171.05","170.91","171.29","170.70","1.87M","0.83"
"Dec 05, 2019","169.65","169.86","169.92","168.86","1.38M","0.13"
"Dec 04, 2019","169.43","169.35","169.84","169.10","1.12M","0.54"
"Dec 03, 2019","168.52","167.60","168.64","167.02","2.01M","-0.58"
"Dec 02, 2019","169.51","171.58","171.66","168.89","1.53M","-1.12"
"Nov 29, 2019","171.43","171.74","171.97","171.32","592.33K","-0.39"
"Nov 27, 2019","172.10","171.68","172.11","171.37","1.85M","0.57"
"Nov 26, 2019","171.12","170.61","171.35","170.51","1.28M","0.36"
"Nov 25, 2019","170.50","169.43","170.53","169.01","932.41K","1.03"
"Nov 22, 2019","168.76","168.96","169.05","168.04","981.47K","0.09"
"Nov 21, 2019","168.61","169.24","169.25","168.32","1.59M","-0.33"
"Nov 20, 2019","169.17","169.63","170.10","168.09","1.84M","-0.34"
"Nov 19, 2019","169.74","170.00","170.33","169.23","909.36K","0.21"
"Nov 18, 2019","169.39","169.00","169.61","168.74","1.69M","0.17"
"Nov 15, 2019","169.10","168.65","169.17","168.06","1.20M","0.85"
"Nov 14, 2019","167.68","166.96","167.74","166.75","1.19M","0.27"
"Nov 13, 2019","167.23","166.65","167.50","166.50","1.14M","0.12"
"Nov 12, 2019","167.03","166.69","167.51","166.53","872.93K","0.32"
"Nov 11, 2019","166.49","165.82","166.57","165.62","637.84K","-0.02"
"Nov 08, 2019","166.52","165.64","166.52","165.41","881.25K","0.40"
"Nov 07, 2019","165.86","166.10","166.74","165.56","920.20K","0.32"
"Nov 06, 2019","165.33","165.28","165.40","164.62","959.79K","0.04"
"Nov 05, 2019","165.27","166.11","166.23","164.95","814.90K","-0.30"
"Nov 04, 2019","165.76","166.39","166.52","165.63","1.07M","0.16"
"Nov 01, 2019","165.49","164.94","165.58","164.72","1.60M","0.82"
"Oct 31, 2019","164.14","164.83","165.00","163.45","2.80M","-0.22"
"Oct 30, 2019","164.50","163.88","164.69","163.04","1.21M","0.54"
"Oct 29, 2019","163.61","163.97","164.45","163.55","914.82K","-0.35"
"Oct 28, 2019","164.19","163.56","164.35","163.56","900.31K","0.87"
"Oct 25, 2019","162.77","161.36","163.08","161.27","625.35K","0.38"
"Oct 24, 2019","162.16","161.76","162.23","161.27","821.23K","0.78"
"Oct 23, 2019","160.90","160.41","161.06","160.24","679.76K","0.22"
"Oct 22, 2019","160.55","162.29","162.54","160.48","636.22K","-0.91"
"Oct 21, 2019","162.03","161.84","162.13","161.23","496.18K","0.59"
"Oct 18, 2019","161.08","162.13","162.29","160.28","614.84K","-0.79"
"Oct 17, 2019","162.36","162.68","162.90","161.94","906.53K","0.33"
"Oct 16, 2019","161.82","161.80","162.09","161.19","1.23M","-0.32"
"Oct 15, 2019","162.34","161.36","162.72","160.61","746.42K","1.08"
"Oct 14, 2019","160.60","160.43","161.25","160.01","440.58K","0.02"
"Oct 11, 2019","160.57","160.67","161.91","160.51","1.13M","0.99"
"Oct 10, 2019","159.00","158.00","159.46","157.77","819.15K","0.58"
"Oct 09, 2019","158.08","157.71","158.59","157.28","1.16M","1.15"
"Oct 08, 2019","156.29","157.72","158.26","156.29","1.13M","-1.58"
"Oct 07, 2019","158.80","158.84","159.93","158.58","1.04M","-0.38"
"Oct 04, 2019","159.41","157.73","159.51","157.73","1.16M","1.48"
"Oct 03, 2019","157.09","155.23","157.09","153.64","1.82M","1.16"
"Oct 02, 2019","155.29","157.06","157.26","154.46","1.98M","-1.75"
"Oct 01, 2019","158.06","160.17","160.68","157.98","1.41M","-0.98"
"Sep 30, 2019","159.63","158.89","159.99","158.73","2.25M","0.73"
"Sep 27, 2019","158.47","160.45","160.66","157.44","1.90M","-1.00"
"Sep 26, 2019","160.07","160.39","160.59","159.12","941.13K","-0.16"
"Sep 25, 2019","160.32","159.33","160.65","158.00","1.23M","0.72"
"Sep 24, 2019","159.18","161.70","162.05","158.59","1.34M","-1.28"
"Sep 23, 2019","161.25","160.90","161.73","160.87","846.10K","-0.03"
"Sep 20, 2019","161.30","162.79","163.11","160.79","1.15M","-0.77"
"Sep 19, 2019","162.55","162.42","163.35","162.32","1.66M","0.20"
